ᎡᎦ	e³ga	ee3ga
ᎨᎩᏃᎵᎦ	ge²gị²nohl²ga²	gee2gi2nohl2ga2
ᎪᎩᏃᎵᎦ	go²gị²nohl²ga²	goo2gi2nohl2ga2
ᏗᎦᏓᏚᎳ	dị²gạ²dạ²du²³la	di2ga2da2duu23la
ᏦᎦᏓᏚᎸᏗ	jo¹gạ²dạ²duhl²di	joo1ga2da2duhl2di
ᎠᎾᏓᎪᏩᏔ	a¹nạ²da²go¹wah²ta²	aa1naa2daa2goo1wah2ta2
ᏧᎾᏓᏚᎸᏗ	ju¹nạ²dạ²duhl²di	juu1na2da2duhl2di
ᎢᎾᏓᎪᏩᏔ	i¹nạ²da²go¹wah²ta²	ii1na2daa2goo1wah2ta2
ᎢᏓᏓᎪᏩᏔ	i¹dạ²da²go¹wah²ta²	ii1da2daa2goo1wah2ta2
ᏕᏣᏓᎪᎲᎢ	de³jạ²da²go²hv²³ɂi	dee3ja2daa2goo2hvv23-i
ᎩᎾᏓᏚᎳ	gị²nạ²dạ²du²³la²	gi2na2da2duu23la2
ᎣᏣᏓᎪᏩᏔ	o¹jạ²da²go¹wah²ta²	oo1ja2daa2goo1wah2ta2
ᏓᎾᏓᏙᎵᎪᎢ	da¹nạ²da²dohl²go³ɂi	daa1naa2daa2dohl2goo3-i
ᏕᎾᏓᏙᎵᎦ	de³nạ²da²dohl²ga²	dee3na2daa2dohl2ga2
ᎣᎩᎾᏓᏚᎳ	o¹gị²nạ²dạ²du²³la²	oo1gi2na2da2duu23la2
ᏕᏓᏓᏙᎵᎦ	de³dạ²da²dohl²ga²	dee3da2daa2dohl2ga2
ᏦᎩᎾᏓᏚᎸᏗ	jo¹gị²nạ²dạ²duhl²di	joo1gi2na2da2duhl2di
ᏕᏍᏓᏓᎪᎲᎢ	de²sdạ²da²go²hv²³ɂi	dee2sdaa2daa2goo2hvv23-i
ᏫᏦᏣᏙᎵᎩ	wị²jo¹jạ²da²dohl²gi	wi2joo1ja2daa2dohl2gi
ᎣᏍᏓᏓᎪᏩᏔ	o¹sdạ²da²go¹wah²ta²	oo1sda2daa2goo1wah2ta2
ᏗᎩᎾᏓᏚᎳ	dị²gị²nạ²dạ²du²³la	di2gi2na2da2duu23la
ᏫᏦᏍᏓᏙᎵᎩ	wị²jo¹sdạ²da²dohl²gi	wi2joo1sda2daa2dohl2gi
ᏥᏥ	ji²ji	jii2ji
ᎤᎮᏍᏗ	u¹he³sdi	uu1hee3sdi
ᏩᏓ	wạ²da	wa2da
ᏚᎲᎢ	du²hv²³ɂi	duu2hvv23-i
ᎯᎪᏩᏔ	hi²go¹wah²ta²	hii2goo1wah2ta2
ᏍᏗᎭ	sdi²ha	sdii2ha
ᏍᏆᏚᎳ	sgwạ²du²³la	sgwa2duu23la
ᎢᎾᏓ	i¹nạ²da	ii1na2da
ᏦᎵᎦ	johl²ga	johl2ga
ᏥᎦ	jị²ga²	ji2ga2
ᎠᏁᎾ	a¹ne¹na²	aa1nee1na2
ᎢᏓᏓ	i¹dạ²da	ii1da2da
ᎢᎩᎰᎢ	i¹gi²ho³ɂi	ii1gii2hoo3-i
ᎢᏥᎭ	i¹ji²ha	ii1jii2ha
ᎣᎩᎰᎢ	o¹gi²ho³ɂi	oo1gii2hoo3-i
ᎠᎪᎵᎪᎢ	a¹go²li²go³ɂi	aa1goo2lii2goo3-i
ᎤᏂᎰᎢ	u¹ni²ho³ɂi	uu1nii2hoo3-i
ᎣᏤᎾ	o¹je¹na²	oo1jee1na2
ᏓᎩᎲᎢ	da¹gị²hv²³ɂi	daa1gi2hvv23-i
ᎡᎪᎵᎦ	e¹go²li¹ga²	ee1goo2lii1ga2
ᎣᏍᏕᎾ	o²sde¹na²	oo2sdee1na2
ᏕᎩᎮᏍᏗ	de³gi²he³sdi	dee3gii2hee3sdi
ᎡᏃᎵᎦ	e¹no²li¹ga²	ee1noo2lii1ga2
ᏙᎩᎮᏍᏗ	do¹gi²he³sdi	doo1gii2hee3sdi
ᎡᏙᎵᎦ	e¹do²li¹ga²	ee1doo2lii1ga2
ᏚᏂᎮᏍᏗ	du¹ni²he³sdi	duu1nii2hee3sdi
ᏙᏥᎩᏍᎪᎢ	do¹ji²gi³sgo³ɂi	doo1jii2gii3sgoo3-i
ᎡᏦᎵᎦ	e¹jo²li¹ga²	ee1joo2lii1ga2
ᎩᏂᎰᎢ	gị²ni²ho³ɂi	gi2nii2hoo3-i
ᏕᎯᎩᎠ	de²hị²gị³ɂa	dee2hi2gi3-a
ᎡᏦᎵᎪᎢ	e¹johl²go³ɂi	ee1johl2goo3-i
ᏕᏍᏗᎰᎢ	de²sdi²ho³ɂi	dee2sdii2hoo3-i
ᏕᏣᎮᏍᏗ	de²jạ²he³sdi	dee2ja2hee3sdi
ᏕᏥᎰᎢ	de³ji²ho³ɂi	dee3jii2hoo3-i
ᎤᏓᏚᎸᏗ	u¹dạ²duhl²di	uu1da2duhl2di
ᏕᏂᎩᏍᎪᎢ	de³ni²gi³sgo³ɂi	dee3nii2gii3sgoo3-i
ᏩᏉᎵᎩ	wa¹gwohl²gi	waa1gwohl2gi
ᎣᎩᏂᎰᎢ	o¹gị²ni²ho³ɂi	oo1gi2nii2hoo3-i
ᏕᏗᎩᏍᎪᎢ	de³di²gi³sgo³ɂi	dee3dii2gii3sgoo3-i
ᏕᎩᏂᎮᏍᏗ	de²gị²ni²he³sdi	dee2gi2nii2hee3sdi
ᏙᎩᏂᎮᏍᏗ	do¹gị²ni²he³sdi	doo1gi2nii2hee3sdi
ᏙᏍᏗᎩᏍᎪᎢ	do¹sdi²gi³sgo³ɂi	doo1sdii2gii3sgoo3-i
ᎥᏉᎵᎪᎢ	v¹gwohl²go³ɂi	vv1gwohl2goo3-i
ᎨᎪᎵᎪᎢ	ge²gohl²go³ɂi	gee2gohl2goo3-i
ᎨᏃᎵᎦ	ge²nohl²ga²	gee2nohl2ga2
ᎬᏆᏚᎳ	gv²gwạ²du²³la²	gvv2gwa2duu23la2
ᎨᏙᎵᎦ	ge²do²li¹ga²	gee2doo2lii1ga2
ᎨᏦᎵᎦ	ge²johl²ga²	gee2johl2ga2
ᎪᎪᎵᎪᎢ	go²gohl²go³ɂi	goo2gohl2goo3-i
ᎪᏦᎵᎪᎢ	go²johl²go³ɂi	goo2johl2goo3-i
ᎬᏲᎵᎦ	gv²yo²li¹ga²	gvv2yoo2lii1ga2
ᏓᏃᎵᎦ	da¹nohl²ga²	daa1nohl2ga2
ᏍᎩᏃᎵᎩ	sgi²̣nohl²gi	sgii2nohl2gi
ᏕᎪᎵᎦ	de²gohl²ga²	dee2gohl2ga2
ᏍᏛᏲᎵᏍᏗ	sdv²yo²li³sdi	sdvv2yoo2lii3sdi
ᏥᏲᎵᎦ	ji²yo²li¹ga²	jii2yoo2lii1ga2
ᎢᏍᎩᎪᏩᏔ	i¹sgi²go¹wah²ta²	ii1sgii2goo1wah2ta2
ᎡᏍᏙᎵᎦ	e¹sdo²li¹ga²	ee1sdoo2lii1ga2
ᏫᏨᏲᎵᎩ	wi¹jv²yohl²gi	wii1jvv2yohl2gi
ᎦᎯᎪᏩᏔ	gạ²hi²go¹wah²ta²	ga2hii2goo1wah2ta2
ᎨᏍᏙᎵᎦ	ge²sdohl²ga²	gee2sdohl2ga2
ᎦᏓᎪᏩᏘᎭ	gạ²da²gowh²tị³ha	ga2daa2gowh2ti3ha
ᎨᏣᎪᏩᏛᏗ	ge²jạ²gowh²tvh³di	gee2ja2gowh2tvh3di
ᏣᏓᏚᎸᏗ	jạ²dạ²duhl²di	ja2da2duhl2di
ᎪᏍᏙᎵᎪᎢ	go²sdohl²go³ɂi	goo2sdohl2goo3-i
ᏫᎨᎪᎵᎩ	wị²ge²go²li¹gi	wi2gee2goo2lii1gi
ᎠᏓᏙᎵᎦ	a¹da²dohl²ga²	aa1daa2dohl2ga2
ᎠᏆᏓᏚᎸᏗ	a¹gwạ²dạ²duhl²di	aa1gwaa2da2duhl2di
ᎢᎦᏓᏚᎸᏗ	i¹gạ²dạ²duhl²di	ii1ga2da2duhl2di
ᎡᎩᏃᎵᎦ	e¹gị²no²li¹ga²	ee1gi2noo2lii1ga2
ᎣᎦᏓᏚᎸᏗ	o¹gạ²dạ²duhl²di	oo1ga2da2duhl2di
ᏍᏓᏓᎪᎲᎢ	sdạ²da²go²hv²³ɂi	sdaa2daa2goo2hvv23-i
ᏕᏥᎪᏩᏔ	de²jị²go¹wah²ta²	dee2ji2goo1wah2ta2
ᎤᎾᏓᏚᎸᏗ	u¹nạ²dạ²duhl²di	uu1na2da2duhl2di
ᎦᏥᏲᎵᎦ	gạ²ji²yohl²ga²	ga2jii2yohl2ga2
ᎢᏣᏓᎪᎲᎢ	i¹jạ²da²go²hv²³ɂi	ii1ja2daa2goo2hvv23-i
ᎨᎩᏃᎵᎪᎢ	ge²gị²nohl²go³ɂi	gee2gi2nohl2goo3-i
ᎪᎩᏃᎵᎪᎢ	go²gị²nohl²go³ɂi	goo2gi2nohl2goo3-i
ᎭᏓᏙᎵᎦ	hạ²da²dohl²ga²	haa2daa2dohl2ga2
ᎠᎾᏓᏙᎵᎦ	a¹nạ²da²dohl²ga²	aa1naa2daa2dohl2ga2
ᏕᎦᏓᏚᎵᎭ	de³gạ²dạ²du²lị³ha	dee3ga2da2duu2li3ha
ᏗᎾᏓᎪᏩᏔ	dị²nạ²da²go¹wah²ta	di2na2daa2goo1wah2ta
ᎢᎾᏓᏙᎵᎦ	i¹nạ²da²dohl²ga²	ii1na2daa2dohl2ga2
ᎩᎾᏓᏚᎸᏗ	gị²nạ²dạ²duhl²di	gi2na2da2duhl2di
ᏗᏓᏓᎪᏩᏔ	dị²dạ²da²go¹wah²ta	di2da2daa2goo1wah2ta
ᎢᏓᏓᏙᎵᎦ	i¹dạ²da²dohl²ga²	ii1da2daa2dohl2ga2
ᏙᎦᏓᏚᎵᎭ	do¹gạ²dạ²du²lị³ha	doo1ga2da2duu2li3ha
ᎣᏣᏓᏙᎵᎦ	o¹jạ²da²dohl²ga²	oo1ja2daa2dohl2ga2
ᏚᎾᏓᏚᎵᎭ	du¹nạ²dạ²du²lị³ha	duu1na2da2duu2li3ha
ᎣᎩᎾᏓᏚᎸᏗ	o¹gị²nạ²dạ²duhl²di	oo1gi2na2da2duhl2di
ᏕᎩᎾᏓᏚᎵᎭ	de²gị²nạ²dạ²du²lị³ha	dee2gi2na2da2duu2li3ha
ᏙᎩᎾᏓᏚᎵᎭ	do¹gị²nạ²dạ²du²lị³ha	doo1gi2na2da2duu2li3ha
ᏙᏣᏓᏙᎵᎪᎢ	do¹jạ²da²dohl²go³ɂi	doo1ja2daa2dohl2goo3-i
ᎣᏍᏓᏓᏙᎵᎦ	o¹sdạ²da²dohl²ga²	oo1sda2daa2dohl2ga2
ᏕᏣᏓᎪᏩᏔ	de³jạ²da²go¹wah²ta²	dee3ja2daa2goo1wah2ta2
ᏙᏍᏓᏓᏙᎵᎪᎢ	do¹sdạ²da²dohl²go³ɂi	doo1sda2daa2dohl2goo3-i
ᏕᏍᏓᏓᎪᏩᏔ	de²sdạ²da²go¹wah²ta²	dee2sdaa2daa2goo1wah2ta2
ᏫᏗᎾᏙᎵᎩ	wị²dị²nạda²dohl²gi	wi2di2nadaa2dohl2gi
ᎠᎦ	ạ²ga²	a2ga2
ᎠᏴ	ạ²yv	a2yv
ᎯᎦ	hị²ga	hi2ga
ᎤᎲᎢ	u¹hv²³ɂi	uu1hvv23-i
ᎦᏗᎭ	gạ²di³ɂa	ga2dii3-a
ᏍᏛᏌ	sdv⁴sa	sdvv4sa
ᏧᎩᏍᏗ	ju²gi¹sdi	juu2gii1sdi
ᎬᎪᏩᏛᏗ	gv²gowh²tvh³di	gvv2gowh2tvh3di
ᏣᎰᎢ	jạ²ho³ɂi	ja2hoo3-i
ᏓᎩᏍᎪᎢ	dạ²gi³sgo³ɂi	da2gii3sgoo3-i
ᏥᎪᏩᏛᏗ	ji²gowh²tvh³di	jii2gowh2tvh3di
ᎢᏨᏌ	i¹jv⁴sa	ii1jvv4sa
ᎡᎦᏚᎳ	e¹gạ²du²³la	ee1ga2duu23la
ᏍᏉᎵᎪᎢ	sgwo²li²go³ɂi	sgwoo2lii2goo3-i
ᎠᏂᎦ	a¹ni²ga²	aa1nii2ga2
ᎢᏁᎾ	i¹ne¹na²	ii1nee1na2
ᎡᎾᏚᎳ	e¹nạ²du²³la	ee1na2duu23la
ᎢᏕᎾ	i¹de¹na²	ii1dee1na2
ᎡᏓᏚᎳ	e¹dạ²du²³la	ee1da2duu23la
ᎡᏣᏚᎳ	e¹jạ²du²³la	ee1ja2duu23la
ᎤᎾᏘᏗ	u¹nạt²di	uu1nat2di
ᎣᏥᎦ	o¹ji²ga²	oo1jii2ga2
ᏕᎩᎲᎢ	de³gi²hv²³ɂi	dee3gii2hvv23-i
ᎨᎾᏚᎳ	ge²nạ²du²³la	gee2na2duu23la
ᏙᎩᎲᎢ	do¹gi²hv²³ɂi	doo1gii2hvv23-i
ᎨᏓᏚᎳ	ge²dạ²du²³la	gee2da2duu23la
ᏚᏂᎲᎢ	du¹ni²hv²³ɂi	duu1nii2hvv23-i
ᎠᎩᎰᎢ	a¹gị²ho³ɂi	aa1gi2hoo3-i
ᎣᏍᏗᎦ	o²sdi²ga²	oo2sdii2ga2
ᎨᏣᏚᎳ	ge²jạ²du²³la	gee2ja2duu23la
ᏕᎯᎩᏍᎪᎢ	de²hị²gi³sgo³ɂi	dee2hi2gii3sgoo3-i
ᎢᎪᎵᎦ	i¹gohl²ga	ii1gohl2ga
ᏩᎦᏚᎳ	wa¹gạ²du²³la	waa1ga2duu23la
ᎢᏨᎪᎲᎢ	i¹jv²go²hv²³ɂi	ii1jvv2goo2hvv23-i
ᏕᏍᏗᎩᎠ	de²sdi²gị³ɂa	dee2sdii2gi3-a
ᏕᏣᎲᎢ	de²jạ²hv²³ɂi	dee2ja2hvv23-i
ᎣᎪᎵᎦ	o¹gohl²ga	oo1gohl2ga
ᎨᎦᏚᎳ	ge²gạ²du²³la²	gee2ga2duu23la2
ᏕᏥᎩᎠ	de³ji²gị³ɂa	dee3jii2gi3-a
ᏕᎩᏂᎲᎢ	de²gị²ni²hv²³ɂi	dee2gi2nii2hvv23-i
ᎤᏓᎪᏩᏛᏗ	u¹da²gowh²tvh³di	uu1daa2gowh2tvh3di
ᏙᎩᏂᎲᎢ	do¹gị²ni²hv²³ɂi	doo1gi2nii2hvv23-i
ᎪᎦᏚᎳ	go²gạ²du²³la²	goo2ga2duu23la2
ᏮᏆᏚᎳ	wv¹gwạ²du²³la	wvv1gwa2duu23la
ᎡᏣᎪᏩᏔ	e¹jạ²go¹wah²ta	ee1ja2goo1wah2ta
ᎪᏣᏚᎳ	go²jạ²du²³la²	goo2ja2duu23la2
ᎡᏍᏓᏚᎳ	e¹sdạ²du²³la	ee1sda2duu23la
ᎨᏍᏓᏚᎳ	ge²sdạ²du²³la	gee2sda2duu23la
ᎬᏆᏚᎸᏗ	gv²gwạ²duhl²di	gvv2gwa2duhl2di
ᎯᏲᎵᏍᏗ	hi²yo²li³sdi	hii2yoo2lii3sdi
ᏓᎩᎪᎲᎢ	da¹gị²go²hv²³ɂi	daa1gi2goo2hvv23-i
ᏙᏥᎪᏩᏔ	do¹ji²go¹wah²ta²	doo1jii2goo1wah2ta2
ᏓᏃᎵᎪᎢ	da¹nohl²go³ɂi	daa1nohl2goo3-i
ᎦᏥᎪᏩᏛᏗ	gạ²ji²gowh²tvh³di	ga2jii2gowh2tvh3di
ᏍᎩᏃᎵᏍᏗ	sgị²no²li³sdi	sgi2noo2lii3sdi
ᎡᎩᎾᏚᎳ	e¹gị²nạ²du²³la	ee1gi2na2duu23la
ᎪᏍᏓᏚᎳ	go²sdạ²du²³la²	goo2sda2duu23la2
ᎢᏍᎩᏲᎵᏍᏗ	i¹sgi²yo²hlị³sdi	ii1sgii2yoo2hli3sdi
ᎩᏃᎵᎦ	gị²nohl²ga	gi2nohl2ga
ᎦᎯᏲᎵᏍᏗ	gạ²hi²yo²hlị³sdi	ga2hii2yoo2hli3sdi
ᏍᏛᏲᎵᎦ	sdv²yo²li¹ga²	sdvv2yoo2lii1ga2
ᎠᏓᏙᎵᎪᎢ	a¹da²dohl²go³ɂi	aa1daa2dohl2goo3-i
ᏣᏓᎪᏩᏛᏗ	jạ²da²gowh²tvh³di	ja2daa2gowh2tvh3di
ᏫᎨᏣᏚᎳ	wị²ge²jạ²du²³la	wi2gee2ja2duu23la
ᎣᎩᏃᎵᎦ	o¹gị²nohl²ga	oo1gi2nohl2ga
ᎠᏆᏓᎪᏩᏛᏗ	a¹gwạ²da²gowh²tvh³di	aa1gwaa2daa2gowh2tvh3di
ᏕᏂᎪᏩᏔ	de³ni²go¹wah²ta²	dee3nii2goo1wah2ta2
ᏕᏗᎪᏩᏔ	de³di²go¹wah²ta²	dee3dii2goo1wah2ta2
ᎢᎦᏓᎪᏩᏛᏗ	i¹gạ²da²gowh²tvh³di	ii1ga2daa2gowh2tvh3di
ᏙᏍᏗᎪᏩᏔ	do¹sdi²go¹wah²ta²	doo1sdii2goo1wah2ta2
ᎣᎦᏓᎪᏩᏛᏗ	o¹gạ²da²gowh²tvh³di	oo1ga2daa2gowh2tvh3di
ᎨᎩᎾᏚᎳ	ge²gị²nạ²du²³la²	gee2gi2na2duu23la2
ᎪᎩᎾᏚᎳ	go²gị²nạ²du²³la²	goo2gi2na2duu23la2
ᎭᏓᏙᎵᎪᎢ	hạ²da²dohl²go³ɂi	haa2daa2dohl2goo3-i
ᏍᏓᏓᎪᏩᏔ	sdạ²da²go¹wah²ta²	sdaa2daa2goo1wah2ta2
ᎤᎾᏓᎪᏩᏛᏗ	u¹nạ²da²gowh²tvh³di	uu1na2daa2gowh2tvh3di
ᎠᎾᏓᏙᎵᎪᎢ	a¹nạ²da²dohl²go³ɂi	aa1naa2daa2dohl2goo3-i
ᎢᎾᏓᏙᎵᎪᎢ	i¹nạ²da²dohl²go³ɂi	ii1na2daa2dohl2goo3-i
ᏦᎦᏓᎪᏩᏛᏗ	jo¹gạ²da²gowh²tvh³di	joo1ga2daa2gowh2tvh3di
ᏗᎦᏓᏚᎸᏗ	dị²gạ²dạ²duhl²di	di2ga2da2duhl2di
ᎢᏓᏓᏙᎵᎪᎢ	i¹dạ²da²dohl²go³ɂi	ii1da2daa2dohl2goo3-i
ᎢᏣᏓᎪᏩᏔ	i¹jạ²da²go¹wah²ta²	ii1ja2daa2goo1wah2ta2
ᏫᎦᏓᎪᏩᏔ	wị²gạ²da²go¹wah²ta	wi2ga2daa2goo1wah2ta
ᏧᎾᏓᎪᏩᏛᏗ	ju¹nạ²da²gowh²tvh³di	juu1na2daa2gowh2tvh3di
ᎣᏣᏓᏙᎵᎪᎢ	o¹jạ²da²dohl²go³ɂi	oo1ja2daa2dohl2goo3-i
ᎩᎾᏓᎪᏩᏛᏗ	gị²nạ²da²gowh²tvh³di	gi2na2daa2gowh2tvh3di
ᏕᎾᏓᏙᎵᎪᎢ	de³nạ²da²dohl²go³ɂi	dee3na2daa2dohl2goo3-i
ᏕᏓᏓᏙᎵᎪᎢ	de³dạ²da²dohl²go³ɂi	dee3da2daa2dohl2goo3-i
ᏕᏣᏓᏙᎵᎦ	de³jạ²da²dohl²ga²	dee3ja2daa2dohl2ga2
ᏓᎾᏓᎪᏩᏘᎭ	da¹nạ²da²gowh²tị³ha	daa1naa2daa2gowh2ti3ha
ᏗᎩᎾᏓᏚᎸᏗ	dị²gị²nạ²dạ²duhl²di	di2gi2na2da2duhl2di
ᎣᎩᎾᏓᎪᏩᏛᏗ	o¹gị²nạ²da²gowh²tvh³di	oo1gi2na2daa2gowh2tvh3di
ᎣᏍᏓᏓᏙᎵᎪᎢ	o¹sdạ²da²dohl²go³ɂi	oo1sda2daa2dohl2goo3-i
ᏦᎩᎾᏓᎪᏩᏛᏗ	jo¹gị²nạ²da²gowh²tvh³di	joo1gi2na2daa2gowh2tvh3di
ᏕᏍᏓᏓᏙᎵᎦ	de²sdạ²da²dohl²ga²	dee2sdaa2daa2dohl2ga2
ᏙᏣᏓᎪᏩᏘᎭ	do¹jạ²da²gowh²tị³ha	doo1ja2daa2gowh2ti3ha
ᏙᏍᏓᏓᎪᏩᏘᎭ	do¹sdạ²da²gowh²tị³ha	doo1sda2daa2gowh2ti3ha
ᎠᏓ	ạ²da²	a2da2
ᎤᎸᏍᏗ	u¹lv¹sdi	uu1lvv1sdi
ᎨᎪᎢ	ge³gọ³ɂi	gee3go3-i
ᏣᏘᏗ	jạt²di	jat2di
ᎭᏓ	hạ²da²	ha2da2
ᏍᏓᏓ	sdạ²da	sda2da
ᏧᏤᎵᎢ	jụ²je²li⁴ɂi	juu2jee2lii4-i
ᎠᏆᏘᏗ	a¹gwạt²di	aa1gwat2di
ᎢᏣᏓ	i¹jạ²da	ii1ja2da
ᎠᎦᏚᎳ	a¹gạ²du²³la²	aa1ga2duu23la2
ᎡᎩᎪᏩᏔ	e¹gi²go¹wah²ta	ee1gii2goo1wah2ta
ᎢᏂᎦ	i¹ni²ga²	ii1nii2ga2
ᏩᎾᏓ	wa¹nạ²da	waa1na2da
ᎡᏂᎪᏩᏔ	e¹ni²go¹wah²ta	ee1nii2goo1wah2ta
ᎤᏁᏅᏍᏗ	u¹ne²nv¹sdi	uu1nee2nvv1sdi
ᎢᏗᎦ	i¹di²ga²	ii1dii2ga2
ᏬᏣᏓ	wo¹jạ²da	woo1ja2da
ᏓᎪᏩᏔ	dạ²go¹wah²ta²	da2goo1wah2ta2
ᎡᏗᎪᏩᏔ	e¹di²go¹wah²ta	ee1dii2goo1wah2ta
ᎩᎾᏘᏗ	gị²nạt²di	gi2nat2di
ᎡᏥᎪᏩᏔ	e¹ji²go¹wah²ta	ee1jii2goo1wah2ta
ᏦᎩᎩᏍᏗ	jo¹gi²gi¹sdi	joo1gii2gii1sdi
ᏬᏍᏓᏓ	wo²sdạ²da	woo2sda2da
ᎡᏦᎵᏨᎢ	e¹johl²jv²³ɂi	ee1johl2jvv23-i
ᏧᏂᎩᏍᏗ	ju¹ni²gi¹sdi	juu1nii2gii1sdi
ᎠᏓᎪᏩᏘᎭ	a¹da²gowh²tị³ha	aa1daa2gowh2ti3ha
ᎨᏥᎪᏩᏔ	ge²ji²go¹wah²ta	gee2jii2goo1wah2ta
ᏗᎩᎩᏍᏗ	dị²gi²gi¹sdi	di2gii2gii1sdi
ᏍᎩᎪᏩᏔ	sgị²go¹wah²ta	sgii2goo1wah2ta
ᏕᏍᏗᎬᎢ	de²sdi²gv²³ɂi	dee2sdii2gvv23-i
ᏕᏥᎬᎢ	de³ji²gv²³ɂi	dee3jii2gvv23-i
ᎤᏓᏚᎵᎭ	u¹dạ²du²lị³ha	uu1da2duu2li3ha
ᎥᏆᏚᎳ	v¹gwạ²du²³la²	vv1gwa2duu23la2
ᏫᏗᏂᎦ	wị²dị²ni²ga	wi2di2nii2ga
ᏫᎪᎵᎩ	wi¹gohl²gi	wii1gohl2gi
ᎨᎦᏚᎸᏗ	ge²gạ²duhl²di	gee2ga2duhl2di
ᏦᎩᏂᎩᏍᏗ	jo¹gị²ni²gi¹sdi	joo1gi2nii2gii1sdi
ᏗᎩᏂᎩᏍᏗ	dị²gị²ni²gi¹sdi	di2gi2nii2gii1sdi
ᏬᎪᎵᎩ	wo¹gohl²gi	woo1gohl2gi
ᎢᏨᎪᏩᏔ	i¹jv²go¹wah²ta²	ii1jvv2goo1wah2ta2
ᎡᏍᏗᎪᏩᏔ	e¹sdi²go¹wah²ta	ee1sdii2goo1wah2ta
ᎪᎦᏚᎸᏗ	go²gạ²duhl²di	goo2ga2duhl2di
ᎪᏣᏚᎸᏗ	go²jạ²duhl²di	goo2ja2duhl2di
ᎨᏃᎵᎪᎢ	ge²nohl²go³ɂi	gee2nohl2goo3-i
ᎬᏉᎵᏨᎢ	gv²gwohl²jv²³ɂi	gvv2gwohl2jvv23-i
ᎨᏙᎵᎪᎢ	ge²do²li²go³ɂi	gee2doo2lii2goo3-i
ᎨᏍᏗᎪᏩᏔ	ge²sdi²go¹wah²ta	gee2sdii2goo1wah2ta
ᏓᏆᏚᎳ	da¹gwạ²du²³la²	daa1gwa2duu23la2
ᏕᏣᏚᎳ	de²jạ²du²³la²	dee2ja2duu23la2
ᏙᏥᎪᏩᏘᎭ	do¹ji²gowh²tị³ha	doo1jii2gowh2ti3ha
ᎬᏲᎵᎪᎢ	gv²yo²li²go³ɂi	gvv2yoo2lii2goo3-i
ᎯᏲᎵᎦ	hi²yo²li¹ga²	hii2yoo2lii1ga2
ᏥᏲᎵᎪᎢ	ji²yo²li²go³ɂi	jii2yoo2lii2goo3-i
ᎪᏍᏓᏚᎸᏗ	go²sdạ²duhl²di	goo2sda2duhl2di
ᏗᏗᎪᏩᏔ	dị²di²go¹wah²ta	di2dii2goo1wah2ta
ᏗᏂᎪᏩᏔ	dị³ni²go¹wah²ta	di3nii2goo1wah2ta
ᏣᏓᏚᎵᎭ	jạ²dạ²du²lị³ha	ja2da2duu2li3ha
ᏍᏛᏲᎵᎦ	sdv²yohl²ga²	sdvv2yohl2ga2
ᎨᏣᎪᏩᏘᎭ	ge²jạ²gowh²tị³ha	gee2ja2gowh2ti3ha
ᎠᏆᏓᏚᎵᎭ	a¹gwạ²dạ²du²lị³ha	aa1gwaa2da2duu2li3ha
ᏍᎩᏃᎵᎦ	sgị²no²li¹ga²	sgi2noo2lii1ga2
ᎡᎩᏂᎪᏩᏔ	e¹gị²ni²go¹wah²ta	ee1gi2nii2goo1wah2ta
ᎢᎦᏓᏚᎵᎭ	i¹gạ²dạ²du²lị³ha	ii1ga2da2duu2li3ha
ᎭᏓᎪᏩᏘᎭ	hạ²da²gowh²tị³ha	haa2daa2gowh2ti3ha
ᏍᏓᏓᏙᎵᏍᏗ	sdạ²da²do²hlị³sdi	sdaa2daa2doo2hli3sdi
ᏕᎯᎪᏩᏔ	de²hị²go¹wah²ta²	dee2hi2goo1wah2ta2
ᏬᎩᏃᎵᎩ	wo¹gị²nohl²gi	woo1gi2nohl2gi
ᎢᏍᎩᏲᎵᎦ	i¹sgi²yohl²ga²	ii1sgii2yohl2ga2
ᎣᎦᏓᏚᎵᎭ	o¹gạ²dạ²du²lị³ha	oo1ga2da2duu2li3ha
ᏕᏥᎪᏩᏘᎭ	de²jị²gowh²tị³ha	dee2ji2gowh2ti3ha
ᎦᎯᏲᎵᎦ	gạ²hi²yohl²ga²	ga2hii2yohl2ga2
ᎤᎾᏓᏚᎵᎭ	u¹nạ²dạ²du²lị³ha	uu1na2da2duu2li3ha
ᎢᏣᏓᏙᎵᏍᏗ	i¹jạ²da²do²hlị³sdi	ii1ja2daa2doo2hli3sdi
ᎦᏥᏲᎵᎪᎢ	gạ²ji²yohl²go³ɂi	ga2jii2yohl2goo3-i
ᎨᎩᎾᏚᎸᏗ	ge²gị²nạ²duhl²di	gee2gi2na2duhl2di
ᏙᏍᏗᎪᏩᏘᎭ	do¹sdi²gowh²tị³ha	doo1sdii2gowh2ti3ha
ᎪᎩᎾᏚᎸᏗ	go²gị²nạ²duhl²di	goo2gi2na2duhl2di
ᏕᎦᏓᏙᎵᏨᎢ	de³gạ²da²dohl²jv²³ɂi	dee3ga2daa2dohl2jvv23-i
ᎠᎾᏓᎪᏩᏘᎭ	a¹nạ²da²gowh²tị³ha	aa1naa2daa2gowh2ti3ha
ᏙᎦᏓᏙᎵᏨᎢ	do¹gạ²da²dohl²jv²³ɂi	doo1ga2daa2dohl2jvv23-i
ᏕᏣᏓᏚᎳ	de³jạ²dạ²du²³la²	dee3ja2da2duu23la2
