ᎤᎭ|ù:ha|u¹ha|He has something solid|uu1ha
ᏓᎾᏓᎪᏩᏘᏍᎪᎢ|dà:nada:gowhtǐ:sgóɂi|da¹nạ²da²gowh²ti²³sgọ³ɂi|They are often seeing each other|daa1naa2daa2gowh2tii23sgo3-i
ᎤᎮᏍᏗ|ù:hé:sdi|u¹he³sdi|He will be having something solid|uu1hee3sdi
ᎣᏥᎷᎦ|ò:ji:lù:gā|o¹ji²lu¹ga²|They and I recently climbed it|oo1jii2luu1ga2
ᏔᎭᏗᏔ|ta:dǐ:ta|ta²di²³ta|Let you (1) drink drinks|taa2dii23ta
ᏗᏊᏗᏔᏍᏗ|dìgwa:di:tasdi|dị¹gwa²di²tạ²sdi|For me to drink drinks|di1gwaa2dii2ta2sdi
ᏕᎾᏓᎪᏩᏘᏍᎪᎢ|dé:nada:gowhtǐ:sgóɂi|de³nạ²da²gowh²ti²³sgọ³ɂi|You (1) and I are often seeing each other|dee3na2daa2gowh2tii23sgo3-i
ᎣᏍᏗᎷᎦ|ò:sdi:lù:gā|o¹sdi²lu¹ga²|He and I recently climbed it|oo1sdii2luu1ga2
ᏗᏗᎭᏗᏔ|dida:dǐ:ta|dị²da²di²³ta|Let all of us drink drinks|di2daa2dii23ta
ᏕᏓᏓᎪᏩᏘᏍᎪᎢ|dé:dada:gowhtǐ:sgóɂi|de³dạ²da²gowh²ti²³sgọ³ɂi|All of us are often seeing each other|dee3da2daa2gowh2tii23sgo3-i
ᏗᏂᎭᏗᏔ|dína:dǐ:ta|dị³na²di²³ta|Let you (1) and me drink drinks|di3naa2dii23ta
ᏕᎦᏓᎧᎲᎢ|dé:gada:kahv̌:ɂi|de³gạ²da²kạ²hv²³ɂi|All of us had each other a while ago|dee3ga2daa2ka2hvv23-i
ᏙᏣᏓᎪᏩᏘᏍᎪᎢ|dò:jada:gowhtǐ:sgóɂi|do¹jạ²da²gowh²ti²³sgọ³ɂi|They and I are often seeing each other|doo1ja2daa2gowh2tii23sgo3-i
ᏍᏓᏓ|sdada|sdạ²da|Let you both say|sda2da
ᏫᏦᏥᎭᏗᏔ|wijò:ja:dǐ:ta|wị²jo¹ja²di²³ta|Let them and me drink drinks|wi2joo1jaa2dii23ta
ᏙᏍᏓᏓᎪᏩᏘᏍᎪᎢ|dò:sdada:gowhtǐ:sgóɂi|do¹sdạ²da²gowh²ti²³sgọ³ɂi|He and I are often seeing each other|doo1sda2daa2gowh2tii23sgo3-i
ᎢᏣᏓ|ì:jada|i¹jạ²da|Let you all say|ii1ja2da
ᏫᏗᏂᎭᏗᏔ|widina:dǐ:ta|wị²dị²na²di²³ta|Let them drink drinks|wi2di2naa2dii23ta
ᎠᏓᎪᏩᏘᎭ|à:da:gowhtíha|a¹da²gowh²tị³ha|He is seeing himself|aa1daa2gowh2ti3ha
ᏫᏦᏍᏗᎭᏗᏔ|wijò:sda:dǐ:ta|wị²jo¹sda²di²³ta|Let him and me drink drinks|wi2joo1sdaa2dii23ta
ᎭᏓᎪᏩᏘᎭ|hada:gowhtíha|hạ²da²gowh²tị³ha|You (1) are seeing yourself|haa2daa2gowh2ti3ha
ᎨᏦᎵᏨᎢ|gé:jo:li:jv̌:ɂi|ge³jo²li²jv²³ɂi|They recognized you all a while ago|gee3joo2lii2jvv23-i
ᏗᏣᏟᏐᏗ|dijàhlǐ:sóhdi|dị²jạ¹hli²³soh³di|For you (1) to gather things|di2ja1hlii23soh3di
ᏫᏓᎦᏙᏍᏓ|widaktǒ:sda|wị²dạ²kto²³sda|Let him look at them|wi2da2ktoo23sda
ᏗᏥᏯᎦ|diji:hyaga|dị²ji²hyạ²ga|Let you all eat flexible things|di2jii2hya2ga
ᎠᎾᏓᎪᏩᏘᎭ|à:nada:gowhtíha|a¹nạ²da²gowh²tị³ha|They are seeing themselves|aa1naa2daa2gowh2ti3ha
ᎪᏦᎵᏨᎢ|go:jo:li:jv̌:ɂi|go²jo²li²jv²³ɂi|They and I recognized them (animate) a while ago|goo2joo2lii2jvv23-i
ᏗᏣᏓᎦᏙᏍᏓ|dijadaktǒ:sda|dị²jạ²dạ²kto²³sda|Let you all look at each other|di2ja2da2ktoo23sda
ᎨᎪᎵᏨᎢ|ge:gohljv̌:ɂi|ge²gohl²jv²³ɂi|They recognized all of us a while ago|gee2gohl2jvv23-i
ᎢᎾᏓᎪᏩᏘᎭ|ì:nada:gowhtíha|i¹nạ²da²gowh²tị³ha|You (1) and I are seeing ourselves|ii1na2daa2gowh2ti3ha
ᎪᏍᏙᎵᏨᎢ|go:sdo:li:jv̌:ɂi|go²sdo²li²jv²³ɂi|He and I recognized them (animate) a while ago|goo2sdoo2lii2jvv23-i
ᏕᏨᏴᎢ|dé:jù:wǎ:yv́:ɂi|de³ju¹wa²³yv³ɂi|You all had rod shaped things a while ago|dee3juu1waa23yvv3-i
ᏗᏍᏗᏍᏗᎦ|disdi:sdǐ:ga|dị²sdi²sdi²³ga|Let you both eat rod shaped things|di2sdii2sdii23ga
ᎯᏲᎵᏍᏗ|hi:yo:lí:sdi|hi²yo²li³sdi|For you (1) to recognize him|hii2yoo2lii3sdi
ᏦᎩᎪᏩᏛᏗ|jò:gi:gowhtv́hdi|jo¹gi²gowh²tvh³di|For them and me to see them (inanimate)|joo1gii2gowh2tvh3di
ᎪᎪᎵᏨᎢ|go:gohljv̌:ɂi|go²gohl²jv²³ɂi|They recognized them and me a while ago|goo2gohl2jvv23-i
ᎢᏓᏓᎪᏩᏘᎭ|ì:dada:gowhtíha|i¹dạ²da²gowh²tị³ha|All of us are seeing ourselves|ii1da2daa2gowh2ti3ha
ᎢᏨᏲᎵᏍᏗ|ì:jv:yo:lí:sdi|i¹jv²yo²li³sdi|For us, me, two, or we all to recognize you all; For we all to recognize you (1), two|ii1jvv2yoo2lii3sdi
ᏧᏂᎪᏩᏛᏗ|jù:ni:gowhtv́hdi|ju¹ni²gowh²tvh³di|For them to see them|juu1nii2gowh2tvh3di
ᎣᏣᏓᎪᏩᏘᎭ|ò:jada:gowhtíha|o¹jạ²da²gowh²tị³ha|They and I are seeing ourselves|oo1ja2daa2gowh2ti3ha
ᏍᎩᎧᎭ|sgikáha|sgị²kạ³ha|You (1) have me|sgii2ka3ha
ᎢᏍᎩᏲᎵᏍᏗ|ì:sgi:yo:lí:sdi|i¹sgi²yo²li³sdi|For you (1), two, or all to recognize us all; For you all to recognize me|ii1sgii2yoo2lii3sdi
ᏦᎩᏂᎪᏩᏛᏗ|jò:gini:gowhtv́hdi|jo¹gị²ni²gowh²tvh³di|For him and me to see them (inanimate)|joo1gi2nii2gowh2tvh3di
ᎨᎩᏃᎵᏨᎢ|ge:ginohljv̌:ɂi|ge²gị²nohl²jv²³ɂi|They recognized you (1) and me a while ago|gee2gi2nohl2jvv23-i
ᎣᏍᏓᏓᎪᏩᏘᎭ|ò:sdada:gowhtíha|o¹sdạ²da²gowh²tị³ha|He and I are seeing ourselves|oo1sda2daa2gowh2ti3ha
ᎥᎩᎧᎭ|v̀:gikáha|v¹gị²kạ³ha|Someone has me|vv1gi2ka3ha
ᎦᎯᏲᎵᏍᏗ|gahi:yo:lí:sdi|gạ²hi²yo²li³sdi|For you (1) to recognize them (animate)|ga2hii2yoo2lii3sdi
ᎪᎩᏃᎵᏨᎢ|go:ginohljv̌:ɂi|go²gị²nohl²jv²³ɂi|They recognized him and me a while ago|goo2gi2nohl2jvv23-i
ᎩᎾᏓᏙᎵᏨᎢ|ginada:dohljv̌:ɂi|gị²nạ²da²dohl²jv²³ɂi|You (1) and I recognized ourselves a while ago|gi2na2daa2dohl2jvv23-i
ᏣᎰᎢ|jahó:ɂi|jạ²ho³ɂi|You (1) usually have something solid|ja2hoo3-i
ᎠᎩᎰᎢ|à:gihó:ɂi|a¹gị²ho³ɂi|I usually have something solid|aa1gi2hoo3-i
ᏫᎦᏓᏙᎵᎩ|wigada:do:lì:gi|wị²gạ²da²do²li¹gi|Let me recognize myself|wi2ga2daa2doo2lii1gi
ᎠᏥᎪᏗ|à:jikóhdi|a¹jị²koh³di|For someone to have him|aa1ji2koh3di
ᏓᏃᎵᎦ|dà:nohlga|da¹nohl²ga|They understand things; They recognize them (animate)|daa1nohl2ga
ᏕᏃᎵᎦ|dé:nohlga|de³nohl²ga|You (1) and I understand things|dee3nohl2ga
ᏕᏙᎵᎦ|dé:dohlga|de³dohl²ga|All of us understand things|dee3dohl2ga
ᏙᏦᎵᎦ|dò:johlga|do¹johl²ga|They and I understand things|doo1johl2ga
ᎤᏓᏙᎵᏍᏗ|ù:da:do:hlísdi|u¹da²do²hlị³sdi|For him to recognize himself|uu1daa2doo2hli3sdi
ᏙᏍᏙᎵᎦ|dò:sdohlga|do¹sdohl²ga|He and I understand things|doo1sdohl2ga
ᏣᏓᏙᎵᏍᏗ|jada:do:hlísdi|jạ²da²do²hlị³sdi|For you (1) to recognize yourself|ja2daa2doo2hli3sdi
ᎠᏆᏓᏙᎵᏍᏗ|à:gwada:do:hlísdi|a¹gwạ²da²do²hlị³sdi|For me to recognize myself|aa1gwaa2daa2doo2hli3sdi
ᏍᎩᎾᏚᎳ|sginadǔ:la|sgị²nạ²du²³la|Let you both want me|sgii2na2duu23la
ᎡᎩᎪᏩᏔ|è:gi:gò:wahta|e¹gi²go¹wah²ta|Let all of us be seen|ee1gii2goo1wah2ta
ᎡᏂᎪᏩᏔ|è:ni:gò:wahta|e¹ni²go¹wah²ta|Let you (1) and me see him|ee1nii2goo1wah2ta
ᎡᏗᎪᏩᏔ|è:di:gò:wahta|e¹di²go¹wah²ta|Let all of us see him|ee1dii2goo1wah2ta
ᎡᏥᎪᏩᏔ|è:ji:gò:wahta|e¹ji²go¹wah²ta|Let you all see him; Let you all be seen|ee1jii2goo1wah2ta
ᎡᏍᏗᎪᏩᏔ|è:sdi:gò:wahta|e¹sdi²go¹wah²ta|Let you both see him; Let you both be seen|ee1sdii2goo1wah2ta
ᎡᎩᏂᎪᏩᏔ|è:gini:gò:wahta|e¹gị²ni²go¹wah²ta|Let you (1) and me be seen|ee1gi2nii2goo1wah2ta
ᏕᎩᎪᎲᎢ|dé:gi:go:hv̌:ɂi|de³gi²go²hv²³ɂi|All of us saw them (inanimate) a while ago|dee3gii2goo2hvv23-i
ᏙᎩᎪᎲᎢ|dò:gi:go:hv̌:ɂi|do¹gi²go²hv²³ɂi|They and I saw them (inanimate) a while ago|doo1gii2goo2hvv23-i
ᏚᏂᎪᎲᎢ|dù:ni:go:hv̌:ɂi|du¹ni²go²hv²³ɂi|They saw them a while ago|duu1nii2goo2hvv23-i
ᏓᎩᎪᎲᎢ|dà:gigo:hv̌:ɂi|da¹gị²go²hv²³ɂi|I saw them (inanimate) a while ago|daa1gi2goo2hvv23-i
ᏕᏣᎪᎲᎢ|de:jago:hv̌:ɂi|de²jạ²go²hv²³ɂi|You (1) saw them (inanimate) a while ago|dee2ja2goo2hvv23-i
ᏕᎩᏂᎪᎲᎢ|de:gini:go:hv̌:ɂi|de²gị²ni²go²hv²³ɂi|You (1) and I saw them (inanimate) a while ago|dee2gi2nii2goo2hvv23-i
ᏙᎩᏂᎪᎲᎢ|dò:gini:go:hv̌:ɂi|do¹gị²ni²go²hv²³ɂi|He and I saw them (inanimate) a while ago|doo1gi2nii2goo2hvv23-i
ᎢᏥᏥ|ì:ji:ji|i¹ji²ji|Your all's mother|ii1jii2ji
ᏚᏁᎲᎢ|du:ne:hv̌:ɂi|du²ne²hv²³ɂi|He had liquid things a while ago|duu2nee2hvv23-i
ᎤᎸᏒᎢ|ù:lv̂:sv̌:ɂi|u¹lv³²sv²³ɂi|He climbed it a while ago|uu1lvv32svv23-i
ᏓᏗᏔᏍᎦ|dà:di:tásga|da¹di²tạ³sga|He is drinking drinks|daa1dii2ta3sga
ᏦᎩᏍᏗᎩᏍᏗ|jò:gi:sdǐ:gî:sdi|jo¹gi²sdi²³gi³²sdi|For them and me to eat rod shaped things|joo1gii2sdii23gii32sdi
ᏕᎩᎮᏍᏗ|dé:gi:hé:sdi|de³gi²he³sdi|All of us will be having solid things|dee3gii2hee3sdi
ᎮᎪᎢ|hé:góɂi|he³gọ³ɂi|You (1) usually are going|hee3go3-i
ᏗᏧᏗᏔᏍᏗ|dija:di:tasdi|dị²ja²di²tạ²sdi|For you (1) to drink drinks; For you all to drink drinks|di2jaa2dii2ta2sdi
ᏧᏂᏍᏗᎩᏍᏗ|jù:ni:sdǐ:gî:sdi|ju¹ni²sdi²³gi³²sdi|For them to eat rod shaped things|juu1nii2sdii23gii32sdi
ᎢᏂᎴᎦ|ì:ní:lè:ga|i¹ni³le¹ga|You (1) and I are climbing it|ii1nii3lee1ga
ᏙᎩᎮᏍᏗ|dò:gi:hé:sdi|do¹gi²he³sdi|They and I will be having solid things|doo1gii2hee3sdi
ᏦᎩᏂᏍᏗᎩᏍᏗ|jò:gini:sdǐ:gî:sdi|jo¹gị²ni²sdi²³gi³²sdi|For him and me to eat rod shaped things|joo1gi2nii2sdii23gii32sdi
ᎢᏗᎴᎦ|ì:dí:lè:ga|i¹di³le¹ga|All of us are climbing it|ii1dii3lee1ga
ᏚᏂᎮᏍᏗ|dù:ni:hé:sdi|du¹ni²he³sdi|They will be having solid things|duu1nii2hee3sdi
ᏓᎩᎮᏍᏗ|dà:gihé:sdi|da¹gị²he³sdi|I will be having solid things|daa1gi2hee3sdi
ᏕᏣᏓᏚᎵᎭ|dé:jadadu:líha|de³jạ²dạ²du²lị³ha|You all are wanting each other|dee3ja2da2duu2li3ha
ᎪᏍᏓᎦᏙᏍᏗ|go:sdagà:tǒ:sdi|go²sdạ²ga¹to²³sdi|He and I are looking at them (animate)|goo2sda2gaa1too23sdi
ᎠᏓᎦᏙᏍᏓ|à:daktǒ:sdā|a¹dạ²kto²³sda²|He recently looked at himself|aa1da2ktoo23sda2
ᏕᏣᎮᏍᏗ|de:jahé:sdi|de²jạ²he³sdi|You (1) will be having solid things|dee2ja2hee3sdi
ᎩᎾᏓᏚᎵᎭ|ginadadu:líha|gị²nạ²dạ²du²lị³ha|You (1) and I are wanting ourselves|gi2na2da2duu2li3ha
ᎠᎾᏓᎦᏙᏍᏓ|à:nadaktǒ:sdā|a¹nạ²dạ²kto²³sda²|They recently looked at themselves|aa1naa2da2ktoo23sda2
ᏗᏣᏓᎦᏙᏍᏙᏗ|dijadaktǒ:sdóhdi|dị²jạ²dạ²kto²³sdoh³di|For you all to look at each other|di2ja2da2ktoo23sdoh3di
ᏕᎩᏂᎮᏍᏗ|de:gini:hé:sdi|de²gị²ni²he³sdi|You (1) and I will be having solid things|dee2gi2nii2hee3sdi
ᏕᏥᏍᏗᎦ|de:jisdǐ:gā|de²jị²sdi²³ga²|I recently ate rod shaped things|dee2ji2sdii23ga2
ᏫᏗᎦᎭᏗᏔ|widiga:dǐ:ta|wị²dị²ga²di²³ta|Let me drink drinks|wi2di2gaa2dii23ta
ᏧᏚᎩᏍᏗ|ju:tǔ:gî:sdi|ju²tu²³gi³²sdi|For him to drink alcoholic drinks|juu2tuu23gii32sdi
ᎣᏣᏓᎦᏙᏍᏓ|ò:jadaktǒ:sdā|o¹jạ²dạ²kto²³sda²|They and I recently looked at ourselves|oo1ja2da2ktoo23sda2
ᏙᎩᏂᎮᏍᏗ|dò:gini:hé:sdi|do¹gị²ni²he³sdi|He and I will be having solid things|doo1gi2nii2hee3sdi
ᏍᏓᏓ|sdadā|sdạ²da²|You both recently said|sda2da2
ᏔᎦᏙᏍᏓ|taktǒ:sda|tạ²kto²³sda|Let you (1) look at them (inanimate)|ta2ktoo23sda
ᎣᏍᏓᏓᎦᏙᏍᏓ|ò:sdadaktǒ:sdā|o¹sdạ²dạ²kto²³sda²|He and I recently looked at ourselves|oo1sda2da2ktoo23sda2
ᏕᏣᏚᎦ|dé:jatǔ:gā|de³jạ²tu²³ga²|You all recently drank alcoholic drinks|dee3ja2tuu23ga2
ᎭᏓᎦᏙᏍᏓ|hadaktǒ:sda|hạ²dạ²kto²³sda|Let you (1) look at yourself|haa2da2ktoo23sda
ᏕᏍᏓᏚᎦ|de:sdatǔ:gā|de²sdạ²tu²³ga²|You both recently drank alcoholic drinks|dee2sda2tuu23ga2
ᎢᏨᏲᎵᏨᎢ|ì:jv:yo:li:jv̌:ɂi|i¹jv²yo²li²jv²³ɂi|I, we two, or we all recognized you all a while ago; We all recognized you (1), two a while ago|ii1jvv2yoo2lii2jvv23-i
ᏗᏓᎦᏙᏍᏓ|didaktǒ:sda|dị²dạ²kto²³sda|Let all of us look at them (inanimate)|di2da2ktoo23sda
ᎢᏍᎩᏲᎵᏨᎢ|ì:sgi:yo:li:jv̌:ɂi|i¹sgi²yo²li²jv²³ɂi|You (1), two, or all recognized us all a while ago; You all recognized me a while ago|ii1sgii2yoo2lii2jvv23-i
ᏗᎾᎦᏙᏍᏓ|dínaktǒ:sda|dị³nạ²kto²³sda|Let you (1) and me look at them (inanimate)|di3na2ktoo23sda
ᏍᏛᎪᏩᏛᏗ|sdv:gowhtv́hdi|sdv²gowh²tvh³di|For me to see you both; For we two to see you (1) or you both|sdvv2gowh2tvh3di
ᎦᏓᎪᏩᏘᎭ|gada:gowhtíha|gạ²da²gowh²tị³ha|I am seeing myself|ga2daa2gowh2ti3ha
ᎦᎯᏲᎵᏨᎢ|gahi:yo:li:jv̌:ɂi|gạ²hi²yo²li²jv²³ɂi|You (1) recognized them (animate) a while ago|ga2hii2yoo2lii2jvv23-i
ᏗᎩᎪᏩᏛᏗ|digi:gowhtv́hdi|dị²gi²gowh²tvh³di|For all of us to see them (inanimate)|di2gii2gowh2tvh3di
ᏕᎨᎩᎧᎭ|de:ge:gi:káha|de²ge²gi²kạ³ha|They have all of us|dee2gee2gii2ka3ha
ᎢᎦᏓᎪᏩᏛᏗ|ì:gada:gowhtv́hdi|i¹gạ²da²gowh²tvh³di|For all of us to see ourselves|ii1ga2daa2gowh2tvh3di
ᏫᏦᏣᎦᏙᏍᏓ|wijò:jaktǒ:sda|wị²jo¹jạ²kto²³sda|Let them and me look at them (inanimate)|wi2joo1ja2ktoo23sda
ᏕᎪᎩᎧᎭ|de:go:gi:káha|de²go²gi²kạ³ha|They have them and me|dee2goo2gii2ka3ha
ᎣᎦᏓᎪᏩᏛᏗ|ò:gada:gowhtv́hdi|o¹gạ²da²gowh²tvh³di|For them and me to see ourselves|oo1ga2daa2gowh2tvh3di
ᎪᎵᎪᎢ|go:li:gó:ɂi|go²li²go³ɂi|I usually understand it|goo2lii2goo3-i
ᏫᏗᎾᎦᏙᏍᏓ|widinaktǒ:sda|wị²dị²nạ²kto²³sda|Let them look at them|wi2di2na2ktoo23sda
ᏣᎲᎢ|jahv̌:ɂi|jạ²hv²³ɂi|You (1) had something solid a while ago|ja2hvv23-i
ᏕᎬᎩᎧᎭ|de:gv:gikáha|de²gv²gị²kạ³ha|They have me|dee2gvv2gi2ka3ha
ᎤᎾᏓᎪᏩᏛᏗ|ù:nada:gowhtv́hdi|u¹nạ²da²gowh²tvh³di|For them to see themselves|uu1na2daa2gowh2tvh3di
ᏫᏦᏍᏓᎦᏙᏍᏓ|wijò:sdaktǒ:sda|wị²jo¹sdạ²kto²³sda|Let him and me look at them (inanimate)|wi2joo1sda2ktoo23sda
ᎠᎩᎲᎢ|à:gihv̌:ɂi|a¹gị²hv²³ɂi|I had something solid a while ago|aa1gi2hvv23-i
ᏕᎨᎩᏂᎧᎭ|de:ge:gini:káha|de²ge²gị²ni²kạ³ha|They have you (1) and me|dee2gee2gi2nii2ka3ha
ᏗᎩᏂᎪᏩᏛᏗ|digini:gowhtv́hdi|dị²gị²ni²gowh²tvh³di|For you (1) and me to see them (inanimate)|di2gi2nii2gowh2tvh3di
ᏕᎪᎩᏂᎧᎭ|de:go:gini:káha|de²go²gị²ni²kạ³ha|They have him and me|dee2goo2gi2nii2ka3ha
ᎣᎩᎾᏓᎪᏩᏛᏗ|ò:ginada:gowhtv́hdi|o¹gị²nạ²da²gowh²tvh³di|For him and me to see ourselves|oo1gi2na2daa2gowh2tvh3di
ꭼꮿᎪᏗ|gv:ya:kóhdi|gv²ya²koh³di|For me to have you (1)|gvv2yaa2koh3di
ꮵꮿᎪᏗ|ji:ya:kóhdi|ji²ya²koh³di|For me to have something alive|jii2yaa2koh3di
ꭶꮵꮿᎪᏗ|gaji:ya:kóhdi|gạ²ji²ya²koh³di|For me to have living things|ga2jii2yaa2koh3di
ᏙᏍᏙᎵᎦ|dò:sdohlgā|do¹sdohl²ga²|He and I recently understood things|doo1sdohl2ga2
ᏫᎨᏥᎪᏩᏔ|wige:ji:gò:wahta|wị²ge²ji²go¹wah²ta|Let them be seen|wi2gee2jii2goo1wah2ta
ᎡᎩᏂᎪᏩᏔ|è:gini:gò:wahtā|e¹gị²ni²go¹wah²ta²|You (1) and I were recently seen|ee1gi2nii2goo1wah2ta2
ᎢᏂᎷᎦ|ì:ni:lù:ga|i¹ni²lu¹ga|Let you (1) and me climb it|ii1nii2luu1ga
ᎤᎸᏍᏗ|ù:lv̀:sdi|u¹lv¹sdi|For him to climb it|uu1lvv1sdi
ᎢᏨᏥ|ì:jv:ji|i¹jv²ji|I, your all's mother|ii1jvv2ji
ᏕᏥᏯᎦ|de:jiyagā|de²jị²yạ²ga²|I recently ate flexible things|dee2ji2ya2ga2
ᏓᎭᏗᏔ|da:dǐ:tā|da²di²³ta²|He recently drank drinks|daa2dii23ta2
ᎨᎦᎦᏙᏍᏙᏗ|ge:gagà:tǒ:sdóhdi|ge²gạ²ga¹to²³sdoh³di|For them to be looked at|gee2ga2gaa1too23sdoh3di
ᎦᏓᎦᏙᏍᏗᏍᎪᎢ|gadà:gà:tǒ:sdí:sgó:ɂi|gạ²da¹ga¹to²³sdi³sgo³ɂi|I am often looking at myself|ga2daa1gaa1too23sdii3sgoo3-i
ᏣᏁᏗ|janehdi|jạ²neh²di|For you (1) to have a liquid|ja2neh2di
ᎢᏗᎷᎦ|ì:di:lù:ga|i¹di²lu¹ga|Let all of us climb it|ii1dii2luu1ga
ᏕᎩᎾᎠ|dé:gi:náɂa|de³gi²nạ³ɂa|All of us have flexible things|dee3gii2na3-a
ᏥᏰᎠ|jiyé:ɂa|jị²ye³ɂa|I am eating something flexible|ji2yee3-a
ᎠᎩᏁᏗ|à:ginehdi|a¹gị²neh²di|For me to have a liquid|aa1gi2neh2di
ᏙᎩᎾᎠ|dò:gi:náɂa|do¹gi²nạ³ɂa|They and I have flexible things|doo1gii2na3-a
ᏚᏂᎾᎠ|dù:ni:náɂa|du¹ni²nạ³ɂa|They have flexible things|duu1nii2na3-a
ᏦᎫᏗᏔᏍᏗ|jò:ga:di:tasdi|jo¹ga²di²tạ²sdi|For them and me to drink drinks|joo1gaa2dii2ta2sdi
ᏓᎩᎾᎠ|dà:gináɂa|da¹gị²nạ³ɂa|I have flexible things|daa1gi2na3-a
ᏧᏄᏗᏔᏍᏗ|jù:na:di:tasdi|ju¹na²di²tạ²sdi|For them to drink drinks|juu1naa2dii2ta2sdi
ᏗᎩᏍᏗᎩᏍᏗ|digi:sdǐ:gî:sdi|dị²gi²sdi²³gi³²sdi|For all of us to eat rod shaped things|di2gii2sdii23gii32sdi
ᏕᏣᎾᎠ|de:janáɂa|de²jạ²nạ³ɂa|You (1) have flexible things|dee2ja2na3-a
ᏦᎩᏄᏗᏔᏍᏗ|jò:gina:di:tasdi|jo¹gị²na²di²tạ²sdi|For him and me to drink drinks|joo1gi2naa2dii2ta2sdi
ᏗᎩᏂᏍᏗᎩᏍᏗ|digini:sdǐ:gî:sdi|dị²gị²ni²sdi²³gi³²sdi|For you (1) and me to eat rod shaped things|di2gi2nii2sdii23gii32sdi
ᏕᏣᏓᏚᎸᎲᎢ|dé:jadadu:lv:hv̌:ɂi|de³jạ²dạ²du²lv²hv²³ɂi|You all wanted each other a while ago|dee3ja2da2duu2lvv2hvv23-i
ᏧᏚᎸᏗ|ju:duhldi|ju²duhl²di|For him to want them|juu2duhl2di
ᎢᎦᏓᏙᎵᏨᎢ|ì:gada:dohljv̌:ɂi|i¹gạ²da²dohl²jv²³ɂi|All of us recognized ourselves a while ago|ii1ga2daa2dohl2jvv23-i
ᎣᎦᏓᏙᎵᏨᎢ|ò:gada:dohljv̌:ɂi|o¹gạ²da²dohl²jv²³ɂi|They and I recognized ourselves a while ago|oo1ga2daa2dohl2jvv23-i
ᎤᎾᏓᏙᎵᏨᎢ|ù:nada:dohljv̌:ɂi|u¹nạ²da²dohl²jv²³ɂi|They recognized themselves a while ago|uu1na2daa2dohl2jvv23-i
ᎨᏣᎦᏙᏍᏗ|ge:jà:ktǒ:sdi|ge²ja¹kto²³sdi|They are looking at you (1)|gee2jaa1ktoo23sdi
ᎣᎩᎾᏓᏙᎵᏨᎢ|ò:ginada:dohljv̌:ɂi|o¹gị²nạ²da²dohl²jv²³ɂi|He and I recognized ourselves a while ago|oo1gi2na2daa2dohl2jvv23-i
ᏕᎨᏥᎧᎭ|de:gé:ji:káha|de²ge³ji²kạ³ha|They have you all|dee2gee3jii2ka3ha
ᏕᎪᏥᎧᎭ|de:go:ji:káha|de²go²ji²kạ³ha|They and I have living things|dee2goo2jii2ka3ha
ᏕᎪᏍᏗᎧᎭ|de:go:sdi:káha|de²go²sdi²kạ³ha|He and I have living things|dee2goo2sdii2ka3ha
ᎤᏓᎪᏩᏛᏗ|ù:da:gowhtv́hdi|u¹da²gowh²tvh³di|For him to see himself|uu1daa2gowh2tvh3di
ᏕᏍᏓᏓᎧᎭ|de:sdada:káha|de²sdạ²da²kạ³ha|You both have each other|dee2sdaa2daa2ka3ha
ᏣᏓᎪᏩᏛᏗ|jada:gowhtv́hdi|jạ²da²gowh²tvh³di|For you (1) to see yourself|ja2daa2gowh2tvh3di
ᏗᏣᎪᏩᏛᏗ|dijagowhtv́hdi|dị²jạ²gowh²tvh³di|For you (1) to see them (inanimate)|di2ja2gowh2tvh3di
ᏗᎩᎪᏩᏛᏗ|dìgigowhtv́hdi|dị¹gị²gowh²tvh³di|For me to see them (inanimate)|di1gi2gowh2tvh3di
ᎠᏆᏓᎪᏩᏛᏗ|à:gwada:gowhtv́hdi|a¹gwạ²da²gowh²tvh³di|For me to see myself|aa1gwaa2daa2gowh2tvh3di
ᎯᏯᏚᎳ|hi:yadǔ:la|hi²yạ²du²³la|Let you (1) want him|hii2ya2duu23la
ᎢᏍᎩᏯᏚᎳ|ì:sgi:yadǔ:la|i¹sgi²yạ²du²³la|Let you (1), two, or all want us all; Let you all want me|ii1sgii2ya2duu23la
ᎦᎯᏯᏚᎳ|gahi:yadǔ:la|gạ²hi²yạ²du²³la|Let you (1) want them (animate)|ga2hii2ya2duu23la
ᏍᎩᎪᏩᏔ|sgigò:wahta|sgị²go¹wah²ta|Let you (1) see me|sgii2goo1wah2ta
ᎣᎩᏥ|o:gi:ji|o²gi²ji|Their and my mother|oo2gii2ji
ᎨᎦᎦᏙᏍᏔᏅᎢ|ge:gà:gà:tǒ:stánv̌:ɂi|ge²ga¹ga¹to²³stạ³nv²³ɂi|They were looked at a while ago|gee2gaa1gaa1too23sta3nvv23-i
ᏕᎩᏁᎰᎢ|dé:gi:ne:hó:ɂi|de³gi²ne²ho³ɂi|All of us usually have liquid things|dee3gii2nee2hoo3-i
ᏙᎩᏁᎰᎢ|dò:gi:ne:hó:ɂi|do¹gi²ne²ho³ɂi|They and I usually have liquid things|doo1gii2nee2hoo3-i
ᏗᎩᏁᏗ|dì:gi:nehdi|di¹gi²neh²di|For all of us to have a liquid|dii1gii2neh2di
ᏚᏂᏁᎰᎢ|dù:ni:ne:hó:ɂi|du¹ni²ne²ho³ɂi|They usually have liquid things|duu1nii2nee2hoo3-i
