ID|PSET|VSET|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ANSWER|FILENAME
||||ᏌᎶᎵ||ᏌᎶᎵ|salǒ:li|“A squirrel. Squirrels.”|
||||ᏌᏛᏗ||ᏌᏛᏗ|sadv́:di|“A trap.”|
|||Ꮧ|ᏌᏛᎢᏗ||ᏗᏌᏛᏗ|di:sadv́:di|“Traps.”|
||||ᏐᏈᎵ||ᏐᏈᎵ|sǒ:gwíli|“A horse. Horses.”|
||||ᏡᎬᎢ||ᏡᎬᎢ|hlgv̋:ɂi|“A tree.”|
|||Ꮧ|ᏡᎬᎢ||ᏕᏡᎬᎢ|dě:hlgv̋:ɂi|“Trees.”|
||||ᏲᎾ||ᏲᎾ|yǒ:na|“A bear. Bears.”|
||||ᏃᏘ||ᏃᏘ|nò:t|“Naught. Zero.”|
||||ᎧᏂᎩᏓ||ᎧᏂᎩᏓ|ka:nǐgîda|“None. Nothing. Zero.” |
||||||ᏣᏁᎳ|chaně:la|“Eight.”|
||||||ᏧᏁᎳ|chuně:la|“Eight.”|
||||ᏐᏁᎳ||ᏐᏁᎳ|sóhně:la|“Nine.”|
||||ᏍᎪᎯ||ᏍᎪᎯ|sgǒ:hi|“Ten.”|
||||ᏌᏚ||ᏌᏚ|sa:ɂdu|“Eleven.”|
||||ᏔᎵᏚ||ᏔᎵᏚ|taɂldu|“Twelve.”|
||||ᏦᎦᏚ||ᏦᎦᏚ|joɂga:ɂdu|“Thirteen.”|
||||ᏂᎦᏚ||ᏂᎦᏚ|niga:ɂdu|“Fourteen.”|
||||ᏍᎩᎦᏚ||ᏍᎩᎦᏚ|sgiga:ɂdu|“Fifteen.”|
||||ᏓᎳᏚ||ᏓᎳᏚ|da:la:du|“Sixteen.”|
||||ᎦᎵᏆᏚ||ᎦᎵᏆᏚ|gahlgwǎ:du|“Seventeen.”|
||||ᏁᎳᏚ||ᏁᎳᏚ|ně:la:du|“Eighteen.”|
||||ᏐᏁᎳᏚ||ᏐᏁᎳᏚ|sóhněla:du|“Nineteen.”|
|||ᏔᎵ|ᏍᎪᎯ||ᏔᎵᏍᎪᎯ|táɂlsgǒ:hi|“Twenty.”|
|||ᏦᎢ|ᏍᎪᎯ||ᏦᏍᎪᎯ|joɂsgǒ:hi|“Thirty.”|
|||ᏅᎩ|ᏍᎪᎯ||ᏅᎩᏍᎪᎯ|nvksgǒ:hi|“Forty.”|
|||ᎯᏍᎩ|ᏍᎪᎯ||ᎯᎩᏍᎪᎯ|hiksgǒ:hi|“Fifty.”|
|||ᏑᏓᎵ|ᏍᎪᎯ||ᏑᏓᎵᏍᎪᎯ|sǔ:dálsgǒ:hi|“Sixty.”|
|||ᎦᎵᏉᎩ|ᏍᎪᎯ||ᎦᎵᏆᏍᎪᎯ|gahlgwǎ:sgǒ:hi|“Seventy.”|
|||ᏣᏁᎳ|ᏍᎪᎯ||ᏁᎳᏍᎪᎯ|nélsgǒ:hi|“Eighty.”|
|||ᏐᏁᎳ|ᏍᎪᎯ||ᏐᏁᎳᏍᎪᎯ|sóhnélsgǒ:hi|“Ninety.”|
|||ᏍᎪᎯ|ᏘᏍᏆ||ᏍᎪᎯᏥᏆ|sgǒ:hítsgwa|“One hundred.”|

#Chapter 12 ᏔᎳᏚᏏᏁᎢ ᎠᏕᎶᏆᏍᏗ

|||ᎯᎳ|ᎢᏴᎢ||ᎯᎳᏴᎢ|hilâ:yv̋:ɂi|“When?”|
||||ᎦᎪ||ᎦᎪ|gá:gō|“Who?”|
||||ᎦᎩ||ᎦᎩ|gâ:gí|“Who again?”|
||||ᎦᏙ||ᎦᏙ|gadò|“What?”|
||||||ᎦᏙ ᎤᏍᏗ|gadō u:sdi|“What?” Or, “What thing?”|

|||ᎦᏙ|Ꮂ||ᎦᏙᎲ|gadò:hv̋|“Why?”|
|||ᏓᎩ|ᏚᏙᎠ||ᏓᏆᏙᎠ|dà:gwadó:a|“… is what I am called.”|
|||ᏙᎩᎾ|ᏚᏙᎠ||ᏙᎩᎾᏙᎠ|dò:gi:nadó:a|“… is what we two are called.”|
|||ᏙᎦ|ᏚᏙᎠ||ᏙᎦᏙᎠ|dò:gadó:a|“… is what we all are called.”|
||||||ᏕᏣᏙᎠ?|dě:jádó:ɂa|“… is what you are called.”|
||||||ᏕᏍᏓᏙᎠ?|dě:sdádó:ɂa|“… is what you two are called.”|
||||||ᏕᏣᏙᎠ?|dè:jádó:ɂa|“… is what you all are called.”|
|||Ꮪ|ᏚᏙᎠ||ᏚᏙᎠ|dù:dó:ɂa|“… is what he is called.”|
|||ᏚᎾ|ᏚᏙᎠ||ᏚᎾᏙᎠ|dù:nadó:ɂa|“… is what they are called.”|
|||ᎢᎮ|ᎠᏙᎸᎢ||ᎢᎮᏙᎸᎢ|íhě:dô:lv:ɂi|“You come around again.”|
|||ᎢᏍᏕ|ᎠᏙᎸᎢ||ᎢᏍᏕᏙᎸᎢ|ísdě:dô:lv:ɂi|“You two come around again.”|
|||ᎢᎢᏤ|ᎠᏙᎸᎢ||ᎢᎢᏤᏙᎸᎢ|íɂì:jě:dô:lv:ɂi|“You all come around again.”|
|||ᎠᏂ|ᎠᏃᏍᏓ||ᎠᏃᏍᏓ|à:nő:sda|“Good (them).”|
|||ᎤᏂ|ᎤᏲᎢ||ᎤᏂᏲᎢ|u:niyő:ɂi|“Bad (them).”|
||||ᎩᎵᏏ||ᎩᎵᏏ|gili:si|“English.”|
||||ᏴᏫ||ᏴᏫ|yv:wi|“A person. People.”|
|||Ꭰ|ᎩᎵᏏ||ᎠᎩᎵᏏ|agili:si|“An English person.”|
|||ᎠᏂ|ᎩᎵᏏ||ᎠᏂᎩᎵᏏ|ani:gili:si|“English people.”|
|||Ꭰ|ᏣᎳᎩ||ᎠᏣᎳᎩ|ajalagi|“A Cherokee person.”|
|||ᎠᏂ|ᏣᎳᎩ||ᎠᏂᏣᎳᎩ|ani:jalagi|“Cherokee people.”|
|||Ꭰ|ᏲᏁᎦ||ᎠᏲᏁᎦ|ayó:ne:ga|“An English person.”|
|||ᎠᏂ|ᏲᏁᎦ||ᎠᏂᏲᏁᎦ|ani:yó:ne:ga|“English people.”|
|||ᎠᏂ|ᏴᏫ||ᎠᏂᏴᏫ|ani:yv:wi|“People.”|
|||Ꭰ|ᏴᏫᏯᎢ||ᎠᏴᏫᏯᎢ|ayv:wi:ya̋:ɂi|“A Native American.”|
|||ᎠᏂ|ᏴᏫᏯᎢ||ᎠᏂᏴᏫᏯᎢ|ani:yv:wi:ya̋:ɂi|“Native Americans.”|
||||ᎠᎵᏌᏇᏘ||ᎠᎵᏌᏇᏘ|a:lí:sa:gwe:ti|“Elizabeth”|
||||ᎡᏂᏙᏂ||ᎡᏂᏙᏂ|énto:ni|“Anthony.”|
||||ᎵᏂᏓ||ᎵᏂᏓ|lí:nida|“Linda”|
||||ᎹᎦᎵ||ᎹᎦᎵ|ma:gá:li|“Michael”|
||||ᎹᎦᏰᏘ||ᎹᎦᏰᏘ|má:gaye:ti|“Margaret”|
||||ᎺᎵ||ᎺᎵ|mé:li|“Mary”|
||||ᏆᏆᎠ||ᏆᏆᎠ|gwa:gwaɂa|“Barbara.”|
||||ᏑᏌᏃ||ᏑᏌᏃ|sú:sano|“Susan”|
||||ᏙᎹᏏ||ᏙᎹᏏ|tó:masi|“Thomas”|
||||ᏕᏫᏗ||ᏕᏫᏗ|dé:widi|“David”|
||||ᏣᎵ||ᏣᎵ|chá:li|“Charles”|
||||ᏣᏂ||ᏣᏂ|já:ni|“John”|

#Chapter 13 ᏦᎦᏚᏏᏁᎢ ᎠᏕᎶᏆᏍᏗ
||||Ꮟ||Ꮟ|si|“Wait! Or, still all the same. Or, even now it still is.”|
||||||ᏝᏏ|hlási|“Not all the same. No longer still.”|
*||||||ᎥᏝᏏ|vhlási|“Not all the same. No longer still.”|
||||||ᎪᎱᏍᏗ|go:hű:sdi|“Something. A thing. Things.”|
*||||||ᎪᏍᏗ|gő:sdi|“Something. A thing. Things.”|
||||||Ꮭ ᎪᎱᏍᏗ|hla go:hű:sdi|“Not anything. Nothing. No things.”|

||||||ᎤᏬᎵᏗ ᎪᏪᎵ|uwőhldi go:hwe:li|Funny paper.|
||||||ᎤᏬᎵᏗ ᎪᏪᎵ|juwőhldi digo:hwe:li|Funny papers.|
*||||||ᏕᏫᏗ ᏥᏍᏚ ᎠᎴ Ꮎ ᎠᏂᏦᎢ ᏲᎾ!|dé:widi ji:sdu ale na a:nijoɂi yǒ:na|David Rabbit and Those Three Bears!|
*||||||ᎯᎠ ᏌᏊ ᎤᏲᎢ ᏥᏍᏚ!|hiɂa sà:gwű u:yő:ɂi ji:sdu.|This is one bad rabbit!|
*||||||ᏏᏲ ᏕᏫᏗ…|síyo dé:widi|Hello David…|
*||||||ᎠᎨᏳᏣ ᎠᎴ ᎠᏂᏦᎢ ᏲᎾ|agě:hya ale a:nijoɂi yǒ:na|A Girl and Three Bears|
*|||||male|Ꭳ! ᎠᏂ ᏥᏍᏚ ᎠᎨᏳᏣ!|o. áhni ji:sdu agě:hya|Oh! Here is a rabbit girl!|
*|||||female|ᎦᏙ ᏕᏣᏙᎠ?|gadō dě:jádó:ɂa|What are you called?|
*|||||male|ᎣᏏᏲ, ᏕᏫᏗ ᏥᏍᏚ ᏓᏆᏙᎠ.|o:síyo, dé:widi ji:sdu dà:gwadó:a|Hello, I'm called David Rabbit.|
*|||||male|ᏂᎯ ᎠᎴ ᎠᏴ! ᏂᎯ ᎠᏂ ᎣᏍᏓ.|nihi ale ayv. nihi áhni ő:sda|You and me! You (being) here is good.|
*|||||female|ᎭᏢ Ꮎ ᎠᏂᏦᎢ ᏲᎾ?|ha:dlv na a:nijoɂi yǒ:na|Where are those three bears?|
*|||||male|ᏲᎾᎾ ᎠᏂᏦᎢ?|yǒ:nana a:nijoɂi|What about bears, three of them?|
*|||||male|ᎤᎿᏍ ᎠᏂᏦᎢ ᏲᎾ? Ꮎ ᎤᏲᎢ!|ù:hna̋s a:nijoɂi yǒ:na. na u:yő:ɂi|Are the three bears there? That's bad!|
*|||||female|Ꮎ ᎠᏂᏦᎢ ᏲᎾ ᎤᎿ, ᎣᏍᏓ!|na a:nijoɂi yǒ:na ù:hna̋. ő:sda.|Those three bears are there, it's good!|
*|||||male|Ꮟ! ᏍᏍᏍᏍ… Ꮎ ᎠᏂᏦᎢ ᏲᎾ ᎠᏂ!|Si. s. na a:nijoɂi yǒ:na áhni|Wait! Shhhhh… Those three bears are here!|
*|||||male|ᎤᎿ ᎦᏥᎪᏩᏘᎭ, ᎠᏂᏔᎵ ᏪᏌ…|ù:hna̋ ga:ji:gowhtíha, a:nitáɂli wě:sa|There, I see them, two cats…|
*|||||male|ᏪᏌᏍ? ᎥᏝ! ᎥᏝ! ᎥᏝ! Ꮎ ᎠᏂᏔᎵ ᎩᏟ!|wě:sas. vhla. vhla. vhla. na a:nitáɂli gi:hli|Cats? No! No! No! Those are two dogs!|
*|||||female|ᏲᎾᎾ?|yǒ:nana|What about the bears?|
*|||||male|Ꭽ! Ꮭ ᏲᎾ ᎠᏂ ᏱᎩ!|ha. hla yǒ:na áhni yi̋:gi|Ha! No bears are here!|
*|||||male|Ꭳ! ᎣᏍᏓ!|o. ő:sda|Oh! Good!|
*|||||male|ᎤᎿ. ᏂᎯ ᎠᎴ ᎠᏴ!|ù:hna̋. nihi ale ayv|There. You and me!|
*|||||female|ᎦᏙ ᎤᏍᏗ ᎠᏂ?|gadō u:sdi áhni|What is here?|
*|||||male|ᎤᎿ ᏥᎪᏩᏘᎭ!|ù:hna̋ jigowhtíha|I'm looking there!|
*|||||male|Ꭳ! ᎠᏲ! ᎠᏲ! ᎠᏲ!|o. ayo. ayo. ayo.|Oh! Ouch! Ouch! Ouch!|
*|||||male|ᎪᎱᏍᏗ ᎣᏍᏓ ᏥᎪᏩᏘᎭ!|go:hű:sdi ő:sda jigowhtíha|I see something good!|
*|||||female|ᎦᏙ ᎤᏍᏗ ᎯᎪᏩᏘᎭ?|gadō u:sdi higowhtíha|What do you see?|
*|||||male|ᎰᏩ! ᎪᎱᏍᏗ ᎣᏍᏓ!|howa. go:hű:sdi ő:sda|Alright! Something good!|
*|||||female|Ꭴ! ᏩᏙ!|u:. wado.|Ooo! Thanks!|
*|||||male|ᎠᎴ ᎯᎠ ᎪᎱᏍᏗ ᎣᏍᏓ!|ale hiɂa go:hű:sdi ő:sda|And this is something good!|
*|||||female|ᎣᏍᏓᏍ?|ő:sdas.|Is it good?|
*|||||male|ᎣᏍᏓᏊ!|ő:sdagwu|Just fine!|
*|||||female|ᏕᏫᏗ, ᏙᎯᏧ?|dé:widi, tò:hi̋:ju|David, it's well, right?|
*|||||female|Ꭳ, Ꮒ! ᎠᏂ ᏐᏈᎵ!|o:, ni, áhni sǒ:gwíli|Oh, look! Here is a horse!|
*|||||male|ᎤᎿ ᏌᏊ ᏐᏈᎵ.|ù:hna̋ sà:gwű sǒ:gwíli.|There is one horse.|
*|||||male|ᎠᏂ ᏌᏊ ᏐᏈᎵ.|áhni sà:gwű sǒ:gwíli.|Here is one horse.|
*|||||male|ᎯᎠᏍ ᎣᏍᏓ ᏐᏈᎵ?|hiɂas ő:sda sǒ:gwíli|Is this a good horse?|
*|||||male|Ꭳ! ᎯᎠ ᎣᏍᏓ ᏐᏈᎵ!|o. ő:sda sǒ:gwíli|Oh! This is a good horse!|
*|||||female|ᎠᏲᏍ?|ayos|Ouchies?|
*|||||female|Ꮎ ᎤᏲᎢ ᏐᏈᎵ! ᏙᎯᏍ?|na u:yő:ɂi sǒ:gwíli. tò:hi̋s|That bad horse! Are things well?|
*|||||female|ᎠᏂ ᎣᏍᏓ ᏌᏊ!|áhni ő:sda sà:gwű|Here is a good one!|
*|||||male|ᎾᏍ ᏌᏊ?!|nas sà:gwű|That one?!|
*|||||male|ᎤᎿ, ᎣᏍᏓ ᏌᏊ ᏥᎪᏩᏘᎭ!|ù:hna̋, ő:sda sà:gwű jigowhtíha|There, I see a good one!|
*|||||male|Ꭰ… ᎯᎠ ᎣᏍᏓ!|a:. hiɂa ő:sda|Ah… This is good!|
*|||||female|Ꭳ! ᏕᏫᏗ! ᏴᏫ ᎠᏂ!|o:. dé:widi. yv:wi áhni|Oh! David! People are here!|
*|||||male|Ꭳ, ᎣᏏᏲ ᎠᎨᏳᏣ. ᏙᎯᏧ?|o:. o:síyo age:hyű:ja. tò:hi̋:ju|Oh, hello girl. Things are well, right?|
*|||||female|Ꭳ, ᎣᏏᏲ ᏲᎾ. ᏙᎯᏊ. ᏂᎯᎾ?|o. o:síyo yǒ:na. tò:hi̋:gwu.|Girl Oh, hello Bear. Things are just well. What about you all?|
*|||||female|ᎵᏂᏓ ᏓᏆᏙᎠ.|lí:nida dà:gwadó:a|I'm called Linda.|
*|||||female|Ꭳ, ᏙᎯᏊ. ᎺᎵ ᏓᏆᏙᎠ.|o. tò:hi̋:gwu. mé:li dà:gwadó:a|Oh, Things are just well. I'm called Mary.|
*|||||female|Ꮎ ᏲᎾ ᎠᏧᏣ ᏣᏂ ᏚᏙᎠ.|na yǒ:na achű:ja já:ni dù:dó:ɂa|The bear boy is called John.|
*|||||male|ᎦᎪ? ᎦᏙ ᏚᏙᎠ?|gá:gō. gadō dù:dó:ɂa|Who? What's he called?|
*|||||female|ᎯᎠ ᏕᏫᏗ ᏥᏍᏚ.|hiɂa dé:widi ji:sdu|This is David Rabbit.|
*|||||male|ᏕᏣᏙᎠᏍ ᏕᏫᏗ ᏥᏍᏚ?|dě:jádó:ɂas dé:widi ji:sdu|You are called David Rabbit?|
*|||||male|ᎠᎭ! ᏂᎯ Ꮎ ᎤᏲᎢ ᏥᏍᏚ!|a:ha:. nihi na u:yő:ɂi ji:sdu|Aha! You are that bad rabbit!|
*|||||male|Ꮎ ᏥᏍᏚ ᎠᏧᏣ ᎤᏲᎢ!|na ji:sdu achű:ja u:yő:ɂi|That rabbit boy is bad!|
*|||||male|Ꭳ… ᎯᎠ ᎤᏲᎢ.|o:. hiɂa u:yő:ɂi|Oh… This is bad.|
*|||||male|ᎥᏝ ᏥᏍᏚ ᎠᎨᏳᏣ ᎠᏂ ᏱᎩ.|vhla ji:sdu age:hyű:ja áhni yi̋:gi|No girl rabbit is here.|
*|||||male|ᎠᎴ “ᎠᏲ!”|ale. ayo.|And “Ouch!”|

#Chapter 14 ᏂᎦᏚᏏᏁᎢ ᎠᏕᎶᏆᏍᏗ
|||Ꭰ|ᎢᏤᎢ||ᎢᏤᎢ|ìje̋:ɂi|“Green of fruit or vegetable.”|
|||Ꭰ|ᎢᏤᎢᏳᏍᏗ||ᎢᏤᎢᏳᏍᏗ|ijé:ɂiyű:sdi|“Green colored.”|
|||Ꭴ|ᎤᏍᎪᎸᎢ||ᎤᏍᎪᎸᎢ|ù:sgǒ:lv̋:ɂi|“Dim. Faded.”|
|||Ꭴ|ᎤᏬᏗᎨᎢ||ᎤᏬᏗᎨᎢ|uwǒ:díge̋:ɂi|“Brown.”|
||||||ᎩᎦᎨᎢ|gǐ:gáge̋:ɂi|“Red.”|
*||||||ᎩᎨᎢ|gǐ:ge̋:ɂi|“Red.”|
||||||ᎬᎿᎨᎢ|gv̌:hnáge̋:ɂi|“Black.”|
*||||||ᎬᏂᎨᎢ|gv̌:níge̋:ɂi|“Black.”|
||||ᏌᎪᏂᎨᎢ||ᏌᎪᏂᎨᎢ|sakǒ:níge̋:ɂi|“Blue.”|
||||ᏓᎭᎵᎨᎢ||ᏓᎭᎵᎨᎢ|daha:lige̋:ɂi|“Purple.”|
||||ᏓᎶᏂᎨᎢ||ᏓᎶᏂᎨᎢ|dalǒ:níge̋:ɂi|“Yellow.”|
||||||ᎠᎩᎦᎨᎢ|agǐ:gáge̋:ɂi|“Red.”|
*||||||ᎠᎩᎨᎢ|agǐ:ge̋:ɂi|“Red.”|
||||||ᎠᎬᎿᎨᎢ|agv̌:hnáge̋:ɂi|“Black.”|
*||||||ᎠᎬᏂᎨᎢ|agv̌:níge̋:ɂi|“Black.”|
|||Ꭰ|ᎠᏌᎪᏂᎨᎢ||ᎠᏌᎪᏂᎨᎢ|asakǒ:níge̋:ɂi|“Blue.”|
|||Ꭰ|ᎠᏓᎭᎵᎨᎢ||ᎠᏓᎭᎵᎨᎢ|adaha:lige̋:ɂi|“Purple.”|
|||Ꭰ|ᎠᏓᎶᏂᎨᎢ||ᎠᏓᎶᏂᎨᎢ|adalǒ:níge̋:ɂi|“Yellow.”|
*||||||ᎩᎦᎨ ᎤᏍᎪᎸᎢ|gǐ:gáge ù:sgǒ:lv̋:ɂi|“Pink. A faded red.”|
*||||||ᎬᎿᎨ ᎤᏍᎪᎸᎢ|gv̌:hnáge ù:sgǒ:lv̋:ɂi|“Grey. A faded black.”
*||||||ᏌᎪᏂᎨ ᎤᏍᎪᎸᎢ|sakǒ:níge̋ ù:sgǒ:lv̋:ɂi|“Grey. A faded blue.”
*||||||ᏓᎶᏂᎨ ᎤᏍᎪᎸᎢ|dalǒ:níge ù:sgǒ:lv̋:ɂi|“Orange. A dim yellow.”

#Chapter 15 ᏍᎩᎦᏚᏏᏁᎢ ᎠᏕᎶᏆᏍᏗ
|||ᎠᏂ|ᎢᏤᎢ||ᎠᏂᏤᎢ|ani:je̋:ɂi|“Green of fruit or vegetable.”|
|||ᎠᏂ|ᎢᏤᎢᏳᏍᏗ||ᎠᏂᏤᎢᏳᏍᏗ|ani:jé:ɂiyű:sdi|“Green colored.”|
|||ᎠᏂ|ᎩᎦᎨᎢ||ᎠᏂᎩᎦᎨᎢ|ani:gǐ:gáge̋:ɂi|“Red.”|
|||ᎠᏂ|ᏓᎭᎵᎨᎢ||ᎠᏂᏓᎭᎵᎨᎢ|ani:daha:lige̋:ɂi|“Purple.”|
|||ᎠᏂ|ᎬᎿᎨᎢ||ᎠᏂᎬᎿᎨᎢ|ani:gv̌:hnáge̋:ɂi|“Black.”|
|||ᎠᏂ|ᏌᎪᏂᎨᎢ||ᎠᏂᏌᎪᏂᎨᎢ|ani:sakǒ:níge̋:ɂi|“Blue.”|
|||ᎠᏂ|ᏓᎶᏂᎨᎢ||ᎠᏂᏓᎶᏂᎨᎢ|ani:dalǒ:níge̋:ɂi|“Yellow.”|
|||ᎤᏂ|ᎤᏁᎦ||ᎤᏂᏁᎦ|u:ni:ne̋:ga|“White.”|
|||ᎤᏂ|ᎤᏍᎪᎸᎢ||ᎤᏂᏍᎪᎸᎢ|ù:nisgǒ:lv̋:ɂi|“Dim. Faded.”|
|||ᏧᏂ|ᎤᏬᏗᎨᎢ||ᏧᏃᏗᎨᎢ|ju:nǒ:díge̋:ɂi|“Brown.”|
|||Ꮧ|ᎢᏤᎢ||ᏗᏤᎢ|dije̋:ɂi|“Green of fruit or vegetable.”|
|||Ꮧ|ᎢᏤᎢᏳᏍᏗ||ᏗᏤᎢᏳᏍᏗ|dijé:ɂiyű:sdi|“Green colored.”|
|||Ꮷ|ᎤᏁᎦ||ᏧᏁᎦ|ju:ne̋:ga|“White.”|
|||Ꮷ|ᎤᏍᎪᎸᎢ||ᏧᏍᎪᎸᎢ|ju:sgǒ:lv̋:ɂi|“Dim. Faded.”|
|||Ꮷ|ᎤᏬᏗᎨᎢ||ᏧᏬᏗᎨᎢ|juwǒ:díge̋:ɂi|“Brown.”|
|||Ꮧ|ᎩᎦᎨᎢ||ᏗᎩᎦᎨᎢ|digǐ:gáge̋:ɂi|“Red.”|
|||Ꮧ|ᎬᎿᎨᎢ||ᏗᎬᎿᎨᎢ|digv̌:hnáge̋:ɂi|“Black.”|
|||Ꮧ|ᏌᎪᏂᎨᎢ||ᏗᏌᎪᏂᎨᎢ|disakǒ:níge̋:ɂi|“Blue.”|
|||Ꮧ|ᏓᎭᎵᎨᎢ||ᏗᏓᎭᎵᎨᎢ|didaha:lige̋:ɂi|“Purple.”|
|||Ꮧ|ᏓᎶᏂᎨᎢ||ᏗᏓᎶᏂᎨᎢ|didalǒ:níge̋:ɂi|“Yellow.”|

#Chapter 16 ᏓᎳᏚᏏᏁᎢ ᎠᏕᎶᏆᏍᏗ
*||||||ᎤᏲ ᏥᏍᏚ ᏥᎪᏩᏘᎭ.|u:yő ji:sdu ji:gowhtíha|I see a bad rabbit.|
*||||||ᎠᏴᏫᏯᎢ ᎣᏍᏓ ᎠᎭᏫ ᎠᎪᏩᏘᎭ.|ayv:wi:ya̋:ɂi ő:sda ahawi à:gowhtíha|The Native American sees a good deer.|
*||||||ᏗᎩᎦᎨ ᏗᎪᏪᎵ ᏕᏥᎪᏩᏘᎭ.|digǐ:gáge̋ digo:hwe:li de:jigowhtíha|I see red papers.|
*||||||ᎠᏧᏣ ᏗᏤᎢᏳᏍᏗ ᏗᏌᏛᏗ ᏓᎪᏩᏘᎭ.|achű:ja dijé:ɂiyű:sdi di:sadv́:di dà:gowhtíha|The boy sees green traps.|
*||||||ᎠᏂᏴᏫᏯᎢ ᏗᏌᎪᏂᎨ ᎫᎴ ᏓᏂᎪᏩᏘᎭ.|ani:yv:wi:ya̋:ɂi disakǒ:níge̋ gu:le dà:nigowhtíha|The Native Americans see blue acorns.|
*||||||ᎠᎨᏯᏍ ᏥᎪᏩᏘᎭ?|agě:hyas ji:gowhtíha|Do I see a woman?|
*||||||ᎣᏍᏓ ᎠᏴᏫ ᎯᎪᏩᏘᎭ.|ő:sda ayv:wi hi:gowhtíha|You see a good person.|
*||||||ᎬᏂᎨ ᏌᏛᏗ ᎯᎪᏩᏘᎭ.|gv̌:níge̋ sadv́:di hi:gowhtíha|You see a black trap.|

*||||||ᎢᏤᎢᏳᏍᏗᏍᎪ ᏲᎾ ᏥᎪᏩᏘᎭ?|ijé:ɂiyű:sdisgo yǒ:na ji:gowhtíha|Do I see a green bear?|
*||||||ᎠᏣᎳᎩ ᎯᎪᏩᏘᎭ.|ajalagi hi:gowhtíha|You see a Cherokee person.|
*||||||ᎠᎨᏳᏣ ᏩᎭᏯ ᎠᎪᏩᏘᎭ.|age:hyű:ja wahaya à:gowhtíha|The girl sees a wolf.|
*||||||ᎤᏲᏍᎪ ᎩᏟ ᏥᎪᏩᏘᎭ?|u:yősgo gi:hli ji:gowhtíha|Do I see a bad dog?|
*||||||ᎣᏍᏓ ᏩᏯ ᎯᎪᏩᏘᎭ.|ő:sda wahya hi:gowhtíha|You see a good wolf.|
*||||||ᎤᏲᏍ ᎠᏍᎦᏯ ᏥᎪᏩᏘᎭ?|u:yős asgaya ji:gowhtíha|Do I see a bad man?|
*||||||ᎠᏂᏣᎳᎩ ᎠᏂᏓᎶᏂᎨ ᏩᏯ ᏓᏂᎪᏩᏘᎭ.|anijalagi ani:dalǒ:níge̋ wahya dà:nigowhtíha|The Cherokee people see yellow wolves.|
*||||||ᎤᏂᏁᎦ ᏩᎭᏯ ᎦᎯᎪᏩᏘᎭ.|u:ni:ne̋:ga wahaya ga:hi:gowhtíha|You see white wolves.|

*||||||ᎠᏴᏫᏯᎢ ᏗᎬᎿᎨ ᏅᏯ ᏓᎪᏩᏘᎭ.|ayv:wi:ya̋:ɂi igv̌:hnáge̋:ɂi nv̀:ya dà:gowhtíha|The Native American sees black rocks.|
*||||||ᎠᏂᏴᏫ ᏧᏁᎦ ᏕᏡᎬ ᏓᏂᎪᏩᏘᎭ.|ani:yv:wi ju:ne̋:ga dě:hlgv̋:ɂi dà:nigowhtíha|The people see white trees.|
*||||||ᎤᏲ ᎠᎨᏯ ᏥᎪᏩᏘᎭ.|u:yő agě:hya ji:gowhtíha|I see a bad woman.|
*||||||ᎠᏂᎨᏯ ᎤᏂᏲ ᎠᎭᏫ ᏓᏂᎪᏩᏘᎭ.|ani:gě:hya u:niyő ahawi dà:nigowhtíha|The women see bad deer.|
*||||||ᎠᏧᏣ ᎠᏃᏍᏓ ᎠᏂᏲᏁᎦ ᏓᎪᏩᏘᎭ.|achű:ja à:nő:sda ani:yó:ne:ga dà:gowhtíha|The boy sees good white people.|
*||||||ᎤᏬᏗᎨ ᏄᎾᏊ ᎯᎪᏩᏘᎭ.|uwǒ:díge̋ nǔ:nagwu higowhtíha|You see just a brown potato.|
*||||||ᎤᏬᏗᎨᎾ ᏐᏈᎵ ᏥᎪᏩᏘᎭ?|uwǒ:díge̋na sǒ:gwíli ji:gowhtíha|What about me seeing a brown horse?|
*||||||ᎠᏴᏫᏍ ᎯᎪᏩᏘᎭ?|ayv:wis hi:gowhtíha|Do you see a person?|

#Chapter 17 ᎦᎵᏆᏚᏏᏁᎢ ᎠᏕᎶᏆᏍᏗ
|||Ꭴ|ᎤᎭ||ᎤᎭ|ǔ:ha|“He has it, something solid.”|
|||ᎤᏂ|ᎤᎭ||ᎤᏂᎭ|ù:nǐ:ha|“They have it, something solid.”|
|||ᎠᎩ|ᎤᎭ||ᎠᎩᎭ|à:giha|“I have it, something solid.”|
|||Ꮳ|ᎤᎭ||ᏣᎭ|jaha|“You have it, something solid.”|
|||Ꭴ|ᎤᏩᎧᎭ||ᎤᏩᎧᎭ|ù:wa:káha|“He has it, something alive.”|
|||ᎤᏂ|ᎤᏩᎧᎭ||ᎤᏂᎧᎭ|ù:ni:káha|“They have it, something alive.”|
|||ᎠᎩ|ᎤᏩᎧᎭ||ᎠᎩᎧᎭ|à:gikáha|“I have it, something alive.”|
|||Ꮳ|ᎤᏩᎧᎭ||ᏣᎧᎭ|jakáha|“You have it, something alive.”|

#Chapter 18 ᏁᎳᏚᏏᏁᎢ ᎠᏕᎶᏆᏍᏗ
|||ᎠᎩ|ᎠᎪᏩᏘᎭ||ᎠᎩᎪᏩᏘᎭ|agigowhtíha|“He sees me.”|
||||||Ꮭ ᏯᎩᎪᏩᏘᎭ|hla yagigowhtíha|“He doesn't see me.”|
