ᎠᏓᎪᏩᏔ	a¹da²go¹wah²ta²	aa1daa2goo1wah2ta2
ᏬᏍᏓᏓᎪᏩᏔ	wo¹sdạ²da²go¹wah²ta	woo1sda2daa2goo1wah2ta
ᎡᎾ	e¹na²	ee1na2
ᎮᎾ	he¹na	hee1na
ᎤᎲᎢ	u¹hv²³ɂi	uu1hvv23-i
ᏚᎲᎢ	du²hv²³ɂi	duu2hvv23-i
ᎢᏁᎾ	i¹ne¹na	ii1nee1na
ᏣᎬᎢ	jạ²gv²³ɂi	ja2gvv23-i
ᏘᎪᏩᏔ	tị²go¹wah²ta	ti2goo1wah2ta
ᏥᎦ	jị²ga²	ji2ga2
ᎢᏕᎾ	i¹de¹na	ii1dee1na
ᎠᎩᎬᎢ	a¹gị²gv²³ɂi	aa1gi2gvv23-i
ᎢᎦᏘᏗ	i¹gạt²di	ii1gat2di
ᎠᏂᎦ	a¹ni²ga²	aa1nii2ga2
ᎢᏤᎾ	i¹je¹na	ii1jee1na
ᏓᎪᏩᏔ	dạ²go¹wah²ta²	da2goo1wah2ta2
ᏍᏕᎾ	sde¹na	sdee1na
ᎣᎦᏘᏗ	o¹gạt²di	oo1gat2di
ᎤᎾᏘᏗ	u¹nạt²di	uu1nat2di
ᎡᎪᎵᎦ	e¹go²li¹ga²	ee1goo2lii1ga2
ᎩᎾᏘᏗ	gị²nạt²di	gi2nat2di
ᎣᏥᎦ	o¹ji²ga²	oo1jii2ga2
ᎡᏃᎵᎦ	e¹no²li¹ga²	ee1noo2lii1ga2
ᎡᏙᎵᎦ	e¹do²li¹ga²	ee1doo2lii1ga2
ᎣᎩᎾᏘᏗ	o¹gị²nạt²di	oo1gi2nat2di
ᎡᏦᎵᎦ	e¹jo²li¹ga²	ee1joo2lii1ga2
ᏓᎩᎲᎢ	da¹gị²hv²³ɂi	daa1gi2hvv23-i
ᏕᎩᎰᎢ	de³gi²ho³ɂi	dee3gii2hoo3-i
ᎡᏣᎪᎲᎢ	e¹jạ²go²hv²³ɂi	ee1ja2goo2hvv23-i
ᎯᏯᏚᎳ	hi²yạ²du²³la	hii2ya2duu23la
ᏕᏣᎲᎢ	de²jạ²hv²³ɂi	dee2ja2hvv23-i
ᏙᎩᎰᎢ	do¹gi²ho³ɂi	doo1gii2hoo3-i
ᎤᏓᏚᎸᏗ	u¹dạ²duhl²di	uu1da2duhl2di
ᏚᏂᎰᎢ	du¹ni²ho³ɂi	duu1nii2hoo3-i
ᎨᎪᎵᏨᎢ	ge²go²li²jv²³ɂi	gee2goo2lii2jvv23-i
ᎨᎦᏚᎵᎭ	ge²gạ²du²lị³ha	gee2ga2duu2li3ha
ᎣᏍᏗᎦ	o²sdi²ga²	oo2sdii2ga2
ᏕᎩᏂᎰᎢ	de²gị²ni²ho³ɂi	dee2gi2nii2hoo3-i
ᏩᎦᏚᎳ	wa¹gạ²du²³la	waa1ga2duu23la
ᏙᎩᏂᎰᎢ	do¹gị²ni²ho³ɂi	doo1gi2nii2hoo3-i
ᎪᎦᏚᎵᎭ	go²gạ²du²lị³ha	goo2ga2duu2li3ha
ᎨᏃᎵᎦ	ge²nohl²ga²	gee2nohl2ga2
ᎪᏣᏚᎵᎭ	go²jạ²du²lị³ha	goo2ja2duu2li3ha
ᎨᏙᎵᎦ	ge²do²li¹ga²	gee2doo2lii1ga2
ᎨᏦᎵᎦ	ge²johl²ga²	gee2johl2ga2
ᏮᏆᏚᎳ	wv¹gwạ²du²³la	wvv1gwa2duu23la
ᎬᏲᎵᎦ	gv²yo²li¹ga	gvv2yoo2lii1ga
ᏍᏉᎵᎦ	sgwo²li¹ga²	sgwoo2lii1ga2
ᏕᏣᏚᎳ	de³jạ²du²³la²	dee3ja2duu23la2
ᎬᎩᎪᎲᎢ	gv²gi²go²hv²³ɂi	gvv2gii2goo2hvv23-i
ᎭᏓᏙᎵᎩ	hạ²da²dohl²gi	haa2daa2dohl2gi
ᏣᏓᏚᎸᏗ	jạ²dạ²duhl²di	ja2da2duhl2di
ᏓᏃᎵᎦ	da¹nohl²ga²	daa1nohl2ga2
ᎦᎯᏯᏚᎳ	gạ²hi²yạ²du²³la	ga2hii2ya2duu23la
ᏥᏲᎵᎦ	ji²yo²li¹ga	jii2yoo2lii1ga
ᎠᏆᏓᏚᎸᏗ	a¹gwạ²dạ²duhl²di	aa1gwaa2da2duhl2di
ᎡᎩᏃᎵᎦ	e¹gị²no²li¹ga²	ee1gi2noo2lii1ga2
ᏩᏓᏙᎵᎩ	wa¹da²dohl²gi	waa1daa2dohl2gi
ᎡᏍᏙᎵᎦ	e¹sdo²li¹ga²	ee1sdoo2lii1ga2
ᎢᎦᏓᏚᎸᏗ	i¹gạ²dạ²duhl²di	ii1ga2da2duhl2di
ᎢᏨᏲᎵᎦ	i¹jv²yo²li¹ga	ii1jvv2yoo2lii1ga
ᏫᎨᏦᎵᎩ	wị²ge²johl²gi	wi2gee2johl2gi
ᎣᎦᏓᏚᎸᏗ	o¹gạ²dạ²duhl²di	oo1ga2da2duhl2di
ᏕᏂᎪᏩᏔ	de³ni²go¹wah²ta²	dee3nii2goo1wah2ta2
ᏕᏗᎪᏩᏔ	de³di²go¹wah²ta²	dee3dii2goo1wah2ta2
ᎤᎾᏓᏚᎸᏗ	u¹nạ²dạ²duhl²di	uu1na2da2duhl2di
ᏕᏥᎪᏩᏔ	de²jị²go¹wah²ta²	dee2ji2goo1wah2ta2
ᎦᏓᏙᎵᎪᎢ	gạ²da²dohl²go³ɂi	ga2daa2dohl2goo3-i
ᎦᏥᏲᎵᎦ	gạ²ji²yohl²ga	ga2jii2yohl2ga
ᏗᎾᏓᎪᏩᏔ	dị²nạ²da²go¹wah²ta	di2na2daa2goo1wah2ta
ᏦᎦᏙᎵᏍᏗ	jo¹gạ²da²do²hlị³sdi	joo1ga2daa2doo2hli3sdi
ᏙᏥᎪᏩᏔ	do¹ji²go¹wah²ta²	doo1jii2goo1wah2ta2
ᏧᎾᏙᎵᏍᏗ	ju¹nạ²da²do²hlị³sdi	juu1na2daa2doo2hli3sdi
ᎨᏍᏙᎵᎦ	ge²sdohl²ga²	gee2sdohl2ga2
ᎨᎩᎾᏚᎵᎭ	ge²gị²nạ²du²lị³ha	gee2gi2na2duu2li3ha
ᏗᏓᏓᎪᏩᏔ	dị²dạ²da²go¹wah²ta	di2da2daa2goo1wah2ta
ᎩᎾᏓᏚᎸᏗ	gị²nạ²dạ²duhl²di	gi2na2da2duhl2di
ᎪᎩᎾᏚᎵᎭ	go²gị²nạ²du²lị³ha	goo2gi2na2duu2li3ha
ᏍᎩᏃᎵᎦ	sgị²no²li¹ga²	sgi2noo2lii1ga2
ᎪᏍᏓᏚᎵᎭ	go²sdạ²du²lị³ha	goo2sda2duu2li3ha
ᏍᏛᏲᎵᎦ	sdv²yo²li¹ga	sdvv2yoo2lii1ga
ᎢᏣᏓᎪᏩᏔ	i¹jạ²da²go¹wah²ta²	ii1ja2daa2goo1wah2ta2
ᎢᎾᏓᏙᎵᎩ	i¹nạ²da²dohl²gi	ii1na2daa2dohl2gi
ᏗᎦᏓᏚᎸᏗ	dị²gạ²dạ²duhl²di	di2ga2da2duhl2di
ᎢᏓᏓᏙᎵᎩ	i¹dạ²da²dohl²gi	ii1da2daa2dohl2gi
ᏕᏍᏓᏚᎳ	de²sdạ²du²³la²	dee2sda2duu23la2
ᏦᎩᎾᏙᎵᏍᏗ	jo¹gị²nạ²da²do²hlị³sdi	joo1gi2na2daa2doo2hli3sdi
ᎢᏍᎩᏯᏚᎳ	i¹sgi²yạ²du²³la	ii1sgii2ya2duu23la
ᏩᎾᏓᏙᎵᎩ	wa¹nạ²da²dohl²gi	waa1naa2daa2dohl2gi
ᏍᏓᏓᎪᏩᏔ	sdạ²da²go¹wah²ta²	sdaa2daa2goo1wah2ta2
ᎣᎩᎾᏓᏚᎸᏗ	o¹gị²nạ²dạ²duhl²di	oo1gi2na2da2duhl2di
ᏓᎾᏓᎪᏩᏘᎭ	da¹nạ²da²gowh²tị³ha	daa1naa2daa2gowh2ti3ha
ᏗᎩᎾᏓᏚᎸᏗ	dị²gị²nạ²dạ²duhl²di	di2gi2na2da2duhl2di
ᏕᏣᏓᎪᏩᏔ	de³jạ²da²go¹wah²ta²	dee3ja2daa2goo1wah2ta2
ᏙᏍᏗᎪᏩᏔ	do¹sdi²go¹wah²ta²	doo1sdii2goo1wah2ta2
ᏙᏣᏓᎪᏩᏘᎭ	do¹jạ²da²gowh²tị³ha	doo1ja2daa2gowh2ti3ha
ᏬᏣᏓᏙᎵᎩ	wo¹jạ²da²dohl²gi	woo1ja2daa2dohl2gi
ᏕᏍᏓᏓᎪᏩᏔ	de²sdạ²da²go¹wah²ta²	dee2sdaa2daa2goo1wah2ta2
ᏙᏍᏓᏓᎪᏩᏘᎭ	do¹sdạ²da²gowh²tị³ha	doo1sda2daa2gowh2ti3ha
ᏬᏍᏓᏓᏙᎵᎩ	wo¹sdạ²da²dohl²gi	woo1sda2daa2dohl2gi
ᎤᏘᏗ	ut²di	uut2di
ᎦᏗᎭ	gạ²di³ɂa	ga2dii3-a
ᏚᏚᎳ	du²du²³la²	duu2duu23la2
ᎡᎪᎵᎩ	e¹go²li¹gi	ee1goo2lii1gi
ᎮᎾ	he¹na²	hee1na2
ᏩᎦ	wạ²ga	wa2ga
ᏣᎰᎢ	jạ²ho³ɂi	ja2hoo3-i
ᎡᏃᎵᎩ	e¹no²li¹gi	ee1noo2lii1gi
ᎠᎩᎰᎢ	a¹gị²ho³ɂi	aa1gi2hoo3-i
ᎡᏙᎵᎩ	e¹do²li¹gi	ee1doo2lii1gi
ᎢᏁᎾ	i¹ne¹na²	ii1nee1na2
ᎡᏦᎵᎩ	e¹jo²li¹gi	ee1joo2lii1gi
ᎢᏕᎾ	i¹de¹na²	ii1dee1na2
ᎢᏤᎾ	i¹je¹na²	ii1jee1na2
ᏩᎾᏓ	wa¹nạ²da	waa1na2da
ᎢᎦᏚᎳ	i¹gạ²du²³la	ii1ga2duu23la
ᎡᏣᎪᏩᏔ	e¹jạ²go¹wah²ta	ee1ja2goo1wah2ta
ᏍᏕᎾ	sde¹na²	sdee1na2
ᏬᏣᏓ	wo¹jạ²da	woo1ja2da
ᎨᏃᎵᎩ	ge²nohl²gi	gee2nohl2gi
ᏬᏍᏓᏓ	wo²sdạ²da	woo2sda2da
ᎨᏙᎵᎩ	ge²do²li¹gi	gee2doo2lii1gi
ᎠᏓᎪᏩᏘᎭ	a¹da²gowh²tị³ha	aa1daa2gowh2ti3ha
ᎣᎦᏚᎳ	o¹gạ²du²³la²	oo1ga2duu23la2
ᎨᏦᎵᎩ	ge²johl²gi	gee2johl2gi
ᎩᎾᏚᎳ	gị²nạ²du²³la	gi2na2duu23la
ᏕᎩᎲᎢ	de³gi²hv²³ɂi	dee3gii2hvv23-i
ᎤᎾᏚᎳ	u¹nạ²du²³la²	uu1na2duu23la2
ᏍᏉᎵᎩ	sgwo²li¹gi	sgwoo2lii1gi
ᏙᎩᎲᎢ	do¹gi²hv²³ɂi	doo1gii2hvv23-i
ᏕᏥᎩᏍᎪᎢ	de²jị²gi³sgo³ɂi	dee2ji2gii3sgoo3-i
ᏕᏥᎩᎠ	de³ji²gị³ɂa	dee3jii2gi3-a
ᏚᏂᎲᎢ	du¹ni²hv²³ɂi	duu1nii2hvv23-i
ᏩᎪᎵᎩ	wa¹go²li¹gi	waa1goo2lii1gi
ᏫᏗᏂᎦ	wị²dị²ni²ga	wi2di2nii2ga
ᎨᎦᏚᎸᏗ	ge²gạ²duhl²di	gee2ga2duhl2di
ᏙᏥᎩᏍᎪᎢ	do¹ji²gi³sgo³ɂi	doo1jii2gii3sgoo3-i
ᏕᎩᏂᎲᎢ	de²gị²ni²hv²³ɂi	dee2gi2nii2hvv23-i
ᏕᏍᏗᎩᎠ	de²sdi²gị³ɂa	dee2sdii2gi3-a
ᏗᏂᎪᏩᏔ	dị³ni²go¹wah²ta	di3nii2goo1wah2ta
ᏙᎩᏂᎲᎢ	do¹gị²ni²hv²³ɂi	doo1gi2nii2hvv23-i
ᎤᏓᎪᏩᏛᏗ	u¹da²gowh²tvh³di	uu1daa2gowh2tvh3di
ᏙᏍᏗᎩᏍᎪᎢ	do¹sdi²gi³sgo³ɂi	doo1sdii2gii3sgoo3-i
ᏗᏗᎪᏩᏔ	dị²di²go¹wah²ta	di2dii2goo1wah2ta
ᎪᎦᏚᎸᏗ	go²gạ²duhl²di	goo2ga2duhl2di
ᎪᏣᏚᎸᏗ	go²jạ²duhl²di	goo2ja2duhl2di
ᎯᏯᏚᎳ	hi²yạ²du²³la²	hii2ya2duu23la2
ᏮᏉᎵᎩ	wv¹gwohl²gi	wvv1gwohl2gi
ᎡᎩᏃᎵᎩ	e¹gị²no²li¹gi	ee1gi2noo2lii1gi
ᏓᏆᏚᎳ	da¹gwạ²du²³la²	daa1gwa2duu23la2
ᎡᏍᏙᎵᎩ	e¹sdo²li¹gi	ee1sdoo2lii1gi
ᎬᏲᎵᎦ	gv²yo²li¹ga²	gvv2yoo2lii1ga2
ᏕᏣᏚᎳ	de²jạ²du²³la²	dee2ja2duu23la2
ᎨᏍᏙᎵᎩ	ge²sdohl²gi	gee2sdohl2gi
ᎨᏣᎪᏩᏘᎭ	ge²jạ²gowh²tị³ha	gee2ja2gowh2ti3ha
ᏕᎪᎵᎦ	de²gohl²ga	dee2gohl2ga
ᏥᏲᎵᎦ	ji²yo²li¹ga²	jii2yoo2lii1ga2
ᎬᎩᎪᏩᏔ	gv²gi²go¹wah²ta²	gvv2gii2goo1wah2ta2
ᎭᏓᎪᏩᏘᎭ	hạ²da²gowh²tị³ha	haa2daa2gowh2ti3ha
ᏫᎨᎪᎵᎩ	wị²ge²go²li¹gi	wi2gee2goo2lii1gi
ᎢᏨᏲᎵᎦ	i¹jv²yo²li¹ga²	ii1jvv2yoo2lii1ga2
ᏣᏓᎪᏩᏛᏗ	jạ²da²gowh²tvh³di	ja2daa2gowh2tvh3di
ᏕᎯᎪᏩᏔ	de²hị²go¹wah²ta²	dee2hi2goo1wah2ta2
ᎠᏆᏓᎪᏩᏛᏗ	a¹gwạ²da²gowh²tvh³di	aa1gwaa2daa2gowh2tvh3di
ᎣᎩᎾᏚᎳ	o¹gị²nạ²du²³la²	oo1gi2na2duu23la2
ᏗᎦᏙᎵᏍᏗ	dị²gạ²da²do²hlị³sdi	di2ga2daa2doo2hli3sdi
ᎢᎦᏓᎪᏩᏛᏗ	i¹gạ²da²gowh²tvh³di	ii1ga2daa2gowh2tvh3di
ᎦᎯᏯᏚᎳ	gạ²hi²yạ²du²³la²	ga2hii2ya2duu23la2
ᎦᏥᏲᎵᎦ	gạ²ji²yohl²ga²	ga2jii2yohl2ga2
ᎨᎩᎾᏚᎸᏗ	ge²gị²nạ²duhl²di	gee2gi2na2duhl2di
ᎠᎾᏓᎪᏩᏘᎭ	a¹nạ²da²gowh²tị³ha	aa1naa2daa2gowh2ti3ha
ᎣᎦᏓᎪᏩᏛᏗ	o¹gạ²da²gowh²tvh³di	oo1ga2daa2gowh2tvh3di
ᎪᎩᎾᏚᎸᏗ	go²gị²nạ²duhl²di	goo2gi2na2duhl2di
ᎪᏍᏓᏚᎸᏗ	go²sdạ²duhl²di	goo2sda2duhl2di
ᏫᎦᏓᎪᏩᏔ	wị²gạ²da²go¹wah²ta	wi2ga2daa2goo1wah2ta
ᎢᎾᏓᎪᏩᏘᎭ	i¹nạ²da²gowh²tị³ha	ii1na2daa2gowh2ti3ha
ᎤᎾᏓᎪᏩᏛᏗ	u¹nạ²da²gowh²tvh³di	uu1na2daa2gowh2tvh3di
ᏍᎩᏃᎵᎦ	sgi²̣nohl²ga	sgii2nohl2ga
ᎢᏓᏓᎪᏩᏘᎭ	i¹dạ²da²gowh²tị³ha	ii1da2daa2gowh2ti3ha
ᏍᏛᏲᎵᎦ	sdv²yo²li¹ga²	sdvv2yoo2lii1ga2
ᎩᎾᏓᎪᏩᏛᏗ	gị²nạ²da²gowh²tvh³di	gi2na2daa2gowh2tvh3di
ᏗᎩᎾᏙᎵᏍᏗ	dị²gị²nạ²da²do²hlị³sdi	di2gi2na2daa2doo2hli3sdi
ᎣᏣᏓᎪᏩᏘᎭ	o¹jạ²da²gowh²tị³ha	oo1ja2daa2gowh2ti3ha
ᎢᏣᏓᏙᎵᎦ	i¹jạ²da²dohl²ga	ii1ja2daa2dohl2ga
ᏍᏓᏓᏙᎵᎦ	sdạ²da²dohl²ga	sdaa2daa2dohl2ga
ᎢᏍᎩᏯᏚᎳ	i¹sgi²yạ²du²³la²	ii1sgii2ya2duu23la2
ᏓᎾᏓᏙᎵᎪᎢ	da¹nạ²da²dohl²go³ɂi	daa1naa2daa2dohl2goo3-i
ᏕᎾᏓᎪᏩᏘᎭ	de³nạ²da²gowh²tị³ha	dee3na2daa2gowh2ti3ha
ᏕᏣᏓᏙᎵᎦ	de³jạ²da²dohl²ga	dee3ja2daa2dohl2ga
ᎣᎩᎾᏓᎪᏩᏛᏗ	o¹gị²nạ²da²gowh²tvh³di	oo1gi2na2daa2gowh2tvh3di
ᏕᏓᏓᎪᏩᏘᎭ	de³dạ²da²gowh²tị³ha	dee3da2daa2gowh2ti3ha
ᏙᏣᏓᏙᎵᎪᎢ	do¹jạ²da²dohl²go³ɂi	doo1ja2daa2dohl2goo3-i
ᏫᏦᎦᏓᏚᎳ	wị²jo¹gạ²dạ²du²³la	wi2joo1ga2da2duu23la
ᏕᏍᏓᏓᏙᎵᎦ	de²sdạ²da²dohl²ga	dee2sdaa2daa2dohl2ga
ᏙᏍᏓᏓᏙᎵᎪᎢ	do¹sdạ²da²dohl²go³ɂi	doo1sda2daa2dohl2goo3-i
ᏫᏧᎾᏓᏚᎳ	wị²ju¹nạ²dạ²du²³la	wi2juu1na2da2duu23la
ᎣᏍᏓᏓᎪᏩᏘᎭ	o¹sdạ²da²gowh²tị³ha	oo1sda2daa2gowh2ti3ha
ᏫᏦᎩᎾᏓᏚᎳ	wị²jo¹gị²nạ²dạ²du²³la	wi2joo1gi2na2da2duu23la
ᎯᎦ	hị²ga	hi2ga
ᎤᏚᎳ	u²du²³la²	uu2duu23la2
ᏩᏓ	wạ²da	wa2da
ᎨᎪᎢ	ge³gọ³ɂi	gee3go3-i
ᎬᎪᏩᏘᎭ	gv²gowh²tị³ha	gvv2gowh2ti3ha
ᏣᎲᎢ	jạ²hv²³ɂi	ja2hvv23-i
ᎢᏂᎦ	i¹ni²ga	ii1nii2ga
ᎠᎩᎲᎢ	a¹gị²hv²³ɂi	aa1gi2hvv23-i
ᏚᎪᎲᎢ	du²go²hv²³ɂi	duu2goo2hvv23-i
ᎠᎦᏚᎵᎭ	a¹gạ²du²lị³ha	aa1ga2duu2li3ha
ᎢᏗᎦ	i¹di²ga	ii1dii2ga
ᎢᏥᎦ	i¹ji²ga	ii1jii2ga
ᎡᎦᏚᎵᎭ	e¹gạ²du²lị³ha	ee1ga2duu2li3ha
ᏍᏗᎦ	sdi²ga	sdii2ga
ᏩᏁᎾ	wa¹ne¹na	waa1nee1na
ᎣᎩᎬᎢ	o¹gi²gv²³ɂi	oo1gii2gvv23-i
ᎡᎾᏚᎵᎭ	e¹nạ²du²lị³ha	ee1na2duu2li3ha
ᏥᎪᏩᏘᎭ	ji²gowh²tị³ha	jii2gowh2ti3ha
ᎤᏂᎬᎢ	u¹ni²gv²³ɂi	uu1nii2gvv23-i
ᎡᏓᏚᎵᎭ	e¹dạ²du²lị³ha	ee1da2duu2li3ha
ᏬᏤᎾ	wo¹je¹na	woo1jee1na
ᎡᏣᏚᎵᎭ	e¹jạ²du²lị³ha	ee1ja2duu2li3ha
ᎢᎦᏚᎳ	i¹gạ²du²³la²	ii1ga2duu23la2
ᏬᏍᏕᎾ	wo²sde¹na	woo2sdee1na
ᏕᎯᎩᏍᎪᎢ	de²hị²gi³sgo³ɂi	dee2hi2gii3sgoo3-i
ᏕᏂᎩᏍᎪᎢ	de³ni²gi³sgo³ɂi	dee3nii2gii3sgoo3-i
ᏕᏥᎬᎢ	de³ji²gv²³ɂi	dee3jii2gvv23-i
ᏕᏗᎩᏍᎪᎢ	de³di²gi³sgo³ɂi	dee3dii2gii3sgoo3-i
ᏗᎦᏚᎳ	dị²gạ²du²³la	di2ga2duu23la
ᎡᏣᎪᏩᏔ	e¹jạ²go¹wah²ta²	ee1ja2goo1wah2ta2
ᏗᏣᏚᎳ	dị²jạ²du²³la	di2ja2duu23la
ᎣᎩᏂᎬᎢ	o¹gị²ni²gv²³ɂi	oo1gi2nii2gvv23-i
ᎨᎾᏚᎵᎭ	ge²nạ²du²lị³ha	gee2na2duu2li3ha
ᎨᏓᏚᎵᎭ	ge²dạ²du²lị³ha	gee2da2duu2li3ha
ᏕᏍᏗᎬᎢ	de²sdi²gv²³ɂi	dee2sdii2gvv23-i
ᎨᏣᏚᎵᎭ	ge²jạ²du²lị³ha	gee2ja2duu2li3ha
ᎩᎾᏚᎳ	gị²nạ²du²³la²	gi2na2duu23la2
ᎥᎩᎪᎲᎢ	v¹gị²go²hv²³ɂi	vv1gi2goo2hvv23-i
ᎨᎩᎪᎲᎢ	ge²gi²go²hv²³ɂi	gee2gii2goo2hvv23-i
ᎬᏆᏚᎵᎭ	gv²gwạ²du²lị³ha	gvv2gwa2duu2li3ha
ᎨᏣᎪᏩᏛᏗ	ge²jạ²gowh²tvh³di	gee2ja2gowh2tvh3di
ᎦᏥᎪᏩᏘᎭ	gạ²ji²gowh²tị³ha	ga2jii2gowh2ti3ha
ᎪᎩᎪᎲᎢ	go²gi²go²hv²³ɂi	goo2gii2goo2hvv23-i
ᎯᏲᎵᎦ	hi²yo²li¹ga	hii2yoo2lii1ga
ᎪᏥᎪᎲᎢ	go²ji²go²hv²³ɂi	goo2jii2goo2hvv23-i
ᏍᎩᎪᎲᎢ	sgị²go²hv²³ɂi	sgii2goo2hvv23-i
ᏙᎦᏚᎵᎭ	do¹gạ²du²lị³ha	doo1ga2duu2li3ha
ᏚᎾᏚᎵᎭ	du¹nạ²du²lị³ha	duu1na2duu2li3ha
ᏕᎪᎵᎦ	de²gohl²ga²	dee2gohl2ga2
ᎤᏓᏙᎵᏍᏗ	u¹da²do²hlị³sdi	uu1daa2doo2hli3sdi
ᏓᎩᎪᎲᎢ	da¹gị²go²hv²³ɂi	daa1gi2goo2hvv23-i
ᎠᏓᏙᎵᎪᎢ	a¹da²dohl²go³ɂi	aa1daa2dohl2goo3-i
ᎡᎩᎾᏚᎵᎭ	e¹gị²nạ²du²lị³ha	ee1gi2na2duu2li3ha
ᎡᏍᏓᏚᎵᎭ	e¹sdạ²du²lị³ha	ee1sda2duu2li3ha
ᏗᎩᎾᏚᎳ	dị²gị²nạ²du²³la	di2gi2na2duu23la
ᎢᏨᏲᎵᎦ	i¹jv²yohl²ga	ii1jvv2yohl2ga
ᏓᏂᎪᏩᏔ	da¹ni²go¹wah²ta²	daa1nii2goo1wah2ta2
ᎦᎯᏲᎵᎦ	gạ²hi²yohl²ga	ga2hii2yohl2ga
ᏕᏥᎪᏩᏘᎭ	de²jị²gowh²tị³ha	dee2ji2gowh2ti3ha
ᏣᏓᏙᎵᏍᏗ	jạ²da²do²hlị³sdi	ja2daa2doo2hli3sdi
ᏙᏥᎪᏩᏘᎭ	do¹ji²gowh²tị³ha	doo1jii2gowh2ti3ha
ᎠᏆᏓᏙᎵᏍᏗ	a¹gwạ²da²do²hlị³sdi	aa1gwaa2daa2doo2hli3sdi
ᎨᏍᏓᏚᎵᎭ	ge²sdạ²du²lị³ha	gee2sda2duu2li3ha
ᎢᎦᏓᏙᎵᏍᏗ	i¹gạ²da²do²hlị³sdi	ii1ga2daa2doo2hli3sdi
ᎭᏓᏙᎵᎪᎢ	hạ²da²dohl²go³ɂi	haa2daa2dohl2goo3-i
ᎨᎩᏂᎪᎲᎢ	ge²gị²ni²go²hv²³ɂi	gee2gi2nii2goo2hvv23-i
ᎣᎦᏓᏙᎵᏍᏗ	o¹gạ²da²do²hlị³sdi	oo1ga2daa2doo2hli3sdi
ᏍᎩᏃᎵᎦ	sgi²̣nohl²ga²	sgii2nohl2ga2
ᎤᎾᏓᏙᎵᏍᏗ	u¹nạ²da²do²hlị³sdi	uu1na2daa2doo2hli3sdi
ᎩᎾᏓᏙᎵᏍᏗ	gị²nạ²da²do²hlị³sdi	gi2na2daa2doo2hli3sdi
ᏍᏛᏲᎵᎦ	sdv²yohl²ga	sdvv2yohl2ga
ᎪᎩᏂᎪᎲᎢ	go²gị²ni²go²hv²³ɂi	goo2gi2nii2goo2hvv23-i
ᎪᏍᏗᎪᎲᎢ	go²sdi²go²hv²³ɂi	goo2sdii2goo2hvv23-i
ᎠᎾᏓᏙᎵᎪᎢ	a¹nạ²da²dohl²go³ɂi	aa1naa2daa2dohl2goo3-i
ᎢᎾᏓᏙᎵᎪᎢ	i¹nạ²da²dohl²go³ɂi	ii1na2daa2dohl2goo3-i
ᏕᎦᏓᏙᎵᏨᎢ	de³gạ²da²dohl²jv²³ɂi	dee3ga2daa2dohl2jvv23-i
ᎢᏍᎩᏲᎵᎦ	i¹sgi²yohl²ga	ii1sgii2yohl2ga
ᎢᏓᏓᏙᎵᎪᎢ	i¹dạ²da²dohl²go³ɂi	ii1da2daa2dohl2goo3-i
ᏙᎦᏓᏙᎵᏨᎢ	do¹gạ²da²dohl²jv²³ɂi	doo1ga2daa2dohl2jvv23-i
ᎣᎩᎾᏓᏙᎵᏍᏗ	o¹gị²nạ²da²do²hlị³sdi	oo1gi2na2daa2doo2hli3sdi
ᎢᏣᏓᏙᎵᎦ	i¹jạ²da²dohl²ga²	ii1ja2daa2dohl2ga2
ᏚᎾᏓᏙᎵᏨᎢ	du¹nạ²da²dohl²jv²³ɂi	duu1na2daa2dohl2jvv23-i
ᏙᎩᎾᏚᎵᎭ	do¹gị²nạ²du²lị³ha	doo1gi2na2duu2li3ha
ᎣᏣᏓᏙᎵᎪᎢ	o¹jạ²da²dohl²go³ɂi	oo1ja2daa2dohl2goo3-i
ᏍᏓᏓᏙᎵᎦ	sdạ²da²dohl²ga²	sdaa2daa2dohl2ga2
ᏫᎦᏓᏙᎵᎩ	wị²gạ²da²dohl²gi	wi2ga2daa2dohl2gi
ᏕᎩᎾᏓᏙᎵᏨᎢ	de²gị²nạ²da²dohl²jv²³ɂi	dee2gi2na2daa2dohl2jvv23-i
ᏕᎾᏓᏙᎵᎪᎢ	de³nạ²da²dohl²go³ɂi	dee3na2daa2dohl2goo3-i
ᏙᎩᎾᏓᏙᎵᏨᎢ	do¹gị²nạ²da²dohl²jv²³ɂi	doo1gi2na2daa2dohl2jvv23-i
ᏕᏓᏓᏙᎵᎪᎢ	de³dạ²da²dohl²go³ɂi	dee3da2daa2dohl2goo3-i
ᏕᏣᏓᏙᎵᎦ	de³jạ²da²dohl²ga²	dee3ja2daa2dohl2ga2
ᎣᏍᏓᏓᏙᎵᎪᎢ	o¹sdạ²da²dohl²go³ɂi	oo1sda2daa2dohl2goo3-i
ᏕᏍᏓᏓᏙᎵᎦ	de²sdạ²da²dohl²ga²	dee2sdaa2daa2dohl2ga2
ᏙᏍᏗᎪᏩᏘᎭ	do¹sdi²gowh²tị³ha	doo1sdii2gowh2ti3ha
ᏫᏗᎾᏓᎪᏩᏔ	wị²dị²nạda²go¹wah²ta	wi2di2nadaa2goo1wah2ta
ᏫᏦᏣᏓᎪᏩᏔ	wị²jo¹jạ²da²go¹wah²ta	wi2joo1ja2daa2goo1wah2ta
ᏫᏦᏍᏓᏓᎪᏩᏔ	wị²jo¹sdạ²da²go¹wah²ta	wi2joo1sda2daa2goo1wah2ta
ᎪᎵᎦ	go²li¹ga	goo2lii1ga
